,,,,,,,,,,,
460 nm,9.10910E-07,9.78947E-07,8.03269E-07,1.37272E-06,1.82347E-06,1.34428E-06,9.26675E-07,1.44096E-06,2.14192E-06,1.53601E-06,5.97610E-07
461 nm,8.93457E-07,5.13629E-07,1.47292E-06,5.65031E-07,1.33659E-06,1.70048E-06,1.49871E-06,2.22301E-06,1.97713E-06,1.86647E-06,7.71069E-07
462 nm,8.97912E-07,6.69044E-07,9.30271E-07,1.80083E-06,1.26860E-06,1.19054E-06,2.75183E-06,1.76406E-06,2.37536E-06,2.61675E-06,6.62254E-07
463 nm,6.10389E-07,9.33709E-07,1.83369E-06,1.29301E-06,1.52400E-06,7.38929E-07,1.88312E-06,2.44639E-06,2.41982E-06,3.95423E-06,0.00000E+00
464 nm,1.07986E-06,2.02325E-06,1.23478E-06,1.37565E-06,1.99680E-06,1.97355E-06,2.64815E-06,2.47242E-06,1.19127E-06,2.99666E-06,2.10783E-08
465 nm,7.58305E-07,1.29467E-06,1.36376E-06,1.97617E-06,1.80315E-06,2.72811E-06,2.30302E-06,3.30441E-06,3.55840E-06,2.59398E-06,5.22189E-08
466 nm,1.22793E-06,1.30587E-06,2.26277E-06,2.16206E-06,2.38822E-06,2.22746E-06,3.36154E-06,4.57964E-06,3.12267E-06,3.64128E-06,1.88833E-06
467 nm,8.67379E-07,1.72930E-06,1.32276E-06,1.47666E-06,1.91855E-06,2.64817E-06,3.61346E-06,3.10480E-06,4.29468E-06,4.71292E-06,2.12044E-06
468 nm,1.12495E-06,1.97633E-06,2.58129E-06,2.08106E-06,2.35499E-06,2.75254E-06,3.39485E-06,3.43362E-06,4.64754E-06,5.11282E-06,1.64162E-06
469 nm,1.12220E-06,1.55010E-06,2.42989E-06,2.91621E-06,3.60861E-06,4.12080E-06,3.95825E-06,5.40950E-06,5.70459E-06,5.48565E-06,1.94130E-07
470 nm,1.10956E-06,2.30551E-06,1.89542E-06,2.46969E-06,3.37703E-06,3.74240E-06,4.51293E-06,5.02494E-06,5.42969E-06,6.39708E-06,0.00000E+00
471 nm,1.17318E-06,2.21514E-06,2.94715E-06,2.95002E-06,4.18787E-06,5.22787E-06,5.96497E-06,6.18538E-06,5.47186E-06,7.98169E-06,2.08037E-06
472 nm,1.14046E-06,2.33728E-06,2.91141E-06,3.01408E-06,3.79656E-06,4.69149E-06,4.25917E-06,6.18913E-06,6.92268E-06,7.63452E-06,1.51742E-06
473 nm,1.69337E-06,2.01936E-06,2.78660E-06,3.52145E-06,5.76214E-06,4.50551E-06,6.56521E-06,6.87613E-06,6.99122E-06,7.69996E-06,0.00000E+00
474 nm,1.84990E-06,2.66103E-06,2.69695E-06,4.06487E-06,4.30536E-06,7.38838E-06,6.37385E-06,7.29268E-06,9.17917E-06,9.76269E-06,3.14738E-08
475 nm,1.45842E-06,2.43318E-06,3.99095E-06,5.22616E-06,5.28130E-06,7.10008E-06,6.64375E-06,7.67363E-06,8.61464E-06,9.93116E-06,1.27637E-06
476 nm,1.55606E-06,3.10819E-06,3.62928E-06,4.94405E-06,6.52046E-06,6.63657E-06,9.27832E-06,9.10733E-06,1.21617E-05,1.15066E-05,4.18899E-07
477 nm,1.90987E-06,3.00920E-06,4.33324E-06,5.39632E-06,7.15378E-06,8.51970E-06,9.22305E-06,1.11146E-05,1.19183E-05,1.36891E-05,1.98343E-09
478 nm,1.88686E-06,3.18997E-06,4.68056E-06,6.26856E-06,7.56638E-06,7.66149E-06,1.01749E-05,1.17786E-05,1.30023E-05,1.59187E-05,4.58808E-08
479 nm,2.05866E-06,3.90069E-06,5.23143E-06,6.87724E-06,9.11348E-06,1.00923E-05,1.23082E-05,1.31287E-05,1.44980E-05,1.64707E-05,1.72076E-06
480 nm,2.44065E-06,4.28171E-06,6.24032E-06,8.25383E-06,8.50214E-06,1.14813E-05,1.35893E-05,1.39619E-05,1.78719E-05,1.82713E-05,1.53592E-06
481 nm,2.68433E-06,5.05536E-06,6.77299E-06,9.05918E-06,9.82851E-06,1.23386E-05,1.44866E-05,1.63737E-05,1.80295E-05,2.14862E-05,9.58725E-07
482 nm,2.76330E-06,5.25816E-06,7.01385E-06,1.00094E-05,1.22249E-05,1.31190E-05,1.60945E-05,1.82914E-05,2.12865E-05,2.25353E-05,2.04354E-07
483 nm,2.85754E-06,5.31765E-06,8.94838E-06,1.04801E-05,1.28645E-05,1.57784E-05,1.87903E-05,2.01643E-05,2.27597E-05,2.49357E-05,7.42660E-07
484 nm,3.30951E-06,6.91101E-06,9.57382E-06,1.21759E-05,1.53320E-05,1.73458E-05,1.89957E-05,2.34165E-05,2.61112E-05,2.93601E-05,2.75439E-07
485 nm,3.64608E-06,6.54994E-06,1.01655E-05,1.36963E-05,1.74744E-05,1.84935E-05,2.21978E-05,2.61825E-05,2.86330E-05,3.16970E-05,1.27265E-06
486 nm,4.78388E-06,7.66466E-06,1.09486E-05,1.47494E-05,1.74698E-05,2.10684E-05,2.58448E-05,2.87032E-05,3.27500E-05,3.59345E-05,5.04842E-07
487 nm,4.23767E-06,8.31518E-06,1.22152E-05,1.67832E-05,2.13802E-05,2.49139E-05,2.80044E-05,3.15676E-05,3.63520E-05,3.99627E-05,9.89507E-08
488 nm,5.38285E-06,9.32933E-06,1.41598E-05,1.84372E-05,2.30862E-05,2.58965E-05,2.95742E-05,3.47614E-05,4.07341E-05,4.46840E-05,2.66947E-06
489 nm,5.69890E-06,1.01059E-05,1.51336E-05,2.05167E-05,2.53679E-05,2.96868E-05,3.40512E-05,3.87619E-05,4.37717E-05,4.99826E-05,5.01691E-07
490 nm,6.47255E-06,1.17658E-05,1.65706E-05,2.23852E-05,2.73653E-05,3.27795E-05,3.67455E-05,4.22282E-05,4.74745E-05,5.58640E-05,1.59914E-06
491 nm,6.83939E-06,1.30757E-05,1.90715E-05,2.49396E-05,2.99255E-05,3.67741E-05,4.30249E-05,4.84378E-05,5.45373E-05,6.04600E-05,1.03732E-07
492 nm,7.76214E-06,1.42539E-05,2.13151E-05,2.82745E-05,3.55886E-05,3.98359E-05,4.74614E-05,5.37551E-05,6.05526E-05,6.76770E-05,6.27566E-07
493 nm,8.14189E-06,1.61400E-05,2.40165E-05,3.16239E-05,3.77476E-05,4.52676E-05,5.28622E-05,5.91583E-05,6.85578E-05,7.43428E-05,6.32359E-07
494 nm,9.11642E-06,1.77749E-05,2.65596E-05,3.45201E-05,4.35355E-05,5.03050E-05,5.93648E-05,6.64139E-05,7.42426E-05,8.28616E-05,5.53133E-07
495 nm,1.04312E-05,1.93309E-05,2.87510E-05,3.85897E-05,4.86377E-05,5.51332E-05,6.40245E-05,7.40427E-05,8.31098E-05,9.11264E-05,0.00000E+00
496 nm,1.10345E-05,2.20540E-05,3.19554E-05,4.28251E-05,5.25991E-05,5.97952E-05,7.07640E-05,8.12530E-05,9.09419E-05,1.03887E-04,3.85497E-07
497 nm,1.27859E-05,2.43209E-05,3.57135E-05,4.61251E-05,5.79428E-05,6.87604E-05,7.85632E-05,9.05273E-05,1.01704E-04,1.13873E-04,1.85940E-06
498 nm,1.35092E-05,2.68857E-05,3.98166E-05,5.19900E-05,6.53475E-05,7.50297E-05,8.67919E-05,9.91475E-05,1.12615E-04,1.26457E-04,4.79192E-07
499 nm,1.53515E-05,2.89111E-05,4.43275E-05,5.69652E-05,7.12044E-05,8.13313E-05,9.38021E-05,1.10256E-04,1.22680E-04,1.37633E-04,5.02426E-07
500 nm,1.67501E-05,3.12327E-05,4.79050E-05,6.29980E-05,7.73286E-05,8.88780E-05,1.03614E-04,1.20224E-04,1.33688E-04,1.51300E-04,1.68283E-06
501 nm,1.85088E-05,3.47827E-05,5.33504E-05,6.80916E-05,8.58072E-05,9.87784E-05,1.13875E-04,1.29994E-04,1.49192E-04,1.64684E-04,0.00000E+00
502 nm,2.08239E-05,3.86631E-05,5.88757E-05,7.65632E-05,9.45999E-05,1.08160E-04,1.26730E-04,1.44316E-04,1.63203E-04,1.82934E-04,3.52287E-06
503 nm,2.23407E-05,4.21614E-05,6.31424E-05,8.26129E-05,1.02385E-04,1.18531E-04,1.39026E-04,1.58583E-04,1.78855E-04,2.00604E-04,0.00000E+00
504 nm,2.48130E-05,4.63366E-05,6.82638E-05,8.95333E-05,1.12561E-04,1.28574E-04,1.49230E-04,1.72718E-04,1.94542E-04,2.18786E-04,1.66180E-06
505 nm,2.64116E-05,4.99227E-05,7.44175E-05,9.74271E-05,1.20308E-04,1.39208E-04,1.61060E-04,1.88230E-04,2.10945E-04,2.33290E-04,1.65294E-06
506 nm,2.75814E-05,5.40629E-05,8.07733E-05,1.04942E-04,1.31135E-04,1.50654E-04,1.74221E-04,1.99187E-04,2.26485E-04,2.54590E-04,2.03791E-06
507 nm,3.00081E-05,5.68065E-05,8.63993E-05,1.12544E-04,1.38764E-04,1.61181E-04,1.86940E-04,2.16804E-04,2.42599E-04,2.70586E-04,2.19176E-06
508 nm,3.20504E-05,6.09589E-05,9.21937E-05,1.19215E-04,1.48936E-04,1.71432E-04,1.98856E-04,2.27651E-04,2.56735E-04,2.86763E-04,9.51961E-07
509 nm,3.38006E-05,6.42094E-05,9.67990E-05,1.25481E-04,1.56128E-04,1.81451E-04,2.09986E-04,2.41997E-04,2.72132E-04,3.01236E-04,9.33792E-07
510 nm,3.56213E-05,6.71856E-05,1.00897E-04,1.31356E-04,1.63477E-04,1.89774E-04,2.19213E-04,2.54103E-04,2.86938E-04,3.18310E-04,1.78264E-06
511 nm,3.69717E-05,6.99641E-05,1.03820E-04,1.38085E-04,1.71810E-04,1.98341E-04,2.27690E-04,2.62977E-04,2.98050E-04,3.30886E-04,1.84038E-06
512 nm,3.83154E-05,7.31650E-05,1.09397E-04,1.42113E-04,1.76637E-04,2.04641E-04,2.36922E-04,2.75062E-04,3.05980E-04,3.42096E-04,1.58765E-06
513 nm,3.93075E-05,7.45538E-05,1.12982E-04,1.45885E-04,1.82347E-04,2.09954E-04,2.44254E-04,2.78038E-04,3.15017E-04,3.50390E-04,1.98511E-06
514 nm,3.97495E-05,7.63068E-05,1.15071E-04,1.49676E-04,1.85677E-04,2.15100E-04,2.47213E-04,2.84357E-04,3.20213E-04,3.57522E-04,1.15822E-06
515 nm,4.06248E-05,7.77296E-05,1.18079E-04,1.52321E-04,1.88296E-04,2.17966E-04,2.53550E-04,2.89517E-04,3.23668E-04,3.65424E-04,1.15372E-06
516 nm,4.10631E-05,7.89957E-05,1.18753E-04,1.53214E-04,1.92307E-04,2.21575E-04,2.54548E-04,2.94380E-04,3.28439E-04,3.67784E-04,2.26816E-06
517 nm,4.20418E-05,7.86131E-05,1.18793E-04,1.53849E-04,1.91645E-04,2.20569E-04,2.58863E-04,2.97584E-04,3.33383E-04,3.70549E-04,3.25515E-06
518 nm,4.19757E-05,7.94108E-05,1.18886E-04,1.52287E-04,1.90743E-04,2.21823E-04,2.56715E-04,2.96447E-04,3.32259E-04,3.71908E-04,2.26876E-06
519 nm,4.11483E-05,7.97366E-05,1.17634E-04,1.54701E-04,1.92853E-04,2.20241E-04,2.57355E-04,2.92457E-04,3.32096E-04,3.67501E-04,1.28417E-06
520 nm,4.10934E-05,7.72953E-05,1.18862E-04,1.51808E-04,1.89732E-04,2.18640E-04,2.51018E-04,2.90938E-04,3.29019E-04,3.63132E-04,2.35535E-06
521 nm,3.98667E-05,7.59507E-05,1.14215E-04,1.47206E-04,1.87163E-04,2.11822E-04,2.46836E-04,2.84951E-04,3.18052E-04,3.55261E-04,9.06291E-07
522 nm,3.93978E-05,7.38956E-05,1.12512E-04,1.44416E-04,1.78274E-04,2.10255E-04,2.42359E-04,2.77649E-04,3.13245E-04,3.49219E-04,1.54238E-06
523 nm,3.75982E-05,7.21311E-05,1.08105E-04,1.39546E-04,1.74823E-04,2.03156E-04,2.36232E-04,2.68627E-04,3.01447E-04,3.38721E-04,1.83112E-06
524 nm,3.70963E-05,7.01365E-05,1.04408E-04,1.34772E-04,1.67564E-04,1.94449E-04,2.24408E-04,2.60386E-04,2.90960E-04,3.27583E-04,2.42147E-06
525 nm,3.47682E-05,6.66073E-05,9.96564E-05,1.30638E-04,1.61144E-04,1.88524E-04,2.16685E-04,2.51426E-04,2.84031E-04,3.15263E-04,2.02428E-07
526 nm,3.38130E-05,6.32909E-05,9.58421E-05,1.24513E-04,1.53950E-04,1.79879E-04,2.07760E-04,2.39439E-04,2.67382E-04,2.99443E-04,2.45623E-06
527 nm,3.15079E-05,6.03085E-05,9.08528E-05,1.17058E-04,1.46644E-04,1.70696E-04,1.98218E-04,2.27051E-04,2.57872E-04,2.88301E-04,6.91729E-07
528 nm,3.05572E-05,5.76754E-05,8.69137E-05,1.13072E-04,1.40927E-04,1.63951E-04,1.89007E-04,2.19627E-04,2.46078E-04,2.73739E-04,0.00000E+00
529 nm,2.89980E-05,5.58076E-05,8.31294E-05,1.07070E-04,1.33768E-04,1.56273E-04,1.79608E-04,2.07904E-04,2.30659E-04,2.60191E-04,2.99060E-07
530 nm,2.81703E-05,5.22995E-05,7.99500E-05,1.01927E-04,1.29497E-04,1.48246E-04,1.74257E-04,1.96502E-04,2.24343E-04,2.50190E-04,2.14440E-06
531 nm,2.67827E-05,5.11368E-05,7.57388E-05,9.80307E-05,1.23121E-04,1.42370E-04,1.64681E-04,1.90037E-04,2.13352E-04,2.37613E-04,1.00779E-06
532 nm,2.51740E-05,4.77617E-05,7.18624E-05,9.28343E-05,1.17529E-04,1.35544E-04,1.55726E-04,1.80262E-04,2.02969E-04,2.27339E-04,2.19141E-06
533 nm,2.41152E-05,4.66249E-05,6.96232E-05,8.93224E-05,1.10225E-04,1.29919E-04,1.50822E-04,1.70701E-04,1.92765E-04,2.16322E-04,1.03791E-06
534 nm,2.36927E-05,4.41059E-05,6.60693E-05,8.47517E-05,1.04557E-04,1.23715E-04,1.42604E-04,1.64832E-04,1.84083E-04,2.06438E-04,1.15095E-06
535 nm,2.18875E-05,4.16867E-05,6.13228E-05,8.13428E-05,1.02021E-04,1.18689E-04,1.37092E-04,1.56350E-04,1.78358E-04,1.96357E-04,2.67776E-07
536 nm,2.08606E-05,3.93592E-05,5.96315E-05,7.62183E-05,9.60165E-05,1.12407E-04,1.28524E-04,1.48785E-04,1.65746E-04,1.86863E-04,1.27270E-06
537 nm,1.98586E-05,3.75834E-05,5.63387E-05,7.24963E-05,9.08331E-05,1.06490E-04,1.22152E-04,1.39910E-04,1.58264E-04,1.78632E-04,1.66447E-06
538 nm,1.86720E-05,3.53624E-05,5.27061E-05,6.89890E-05,8.68686E-05,1.00206E-04,1.15554E-04,1.33913E-04,1.49598E-04,1.66900E-04,5.73735E-07
539 nm,1.77909E-05,3.30514E-05,5.10142E-05,6.40513E-05,8.09406E-05,9.47351E-05,1.06627E-04,1.24673E-04,1.41539E-04,1.57794E-04,0.00000E+00
540 nm,1.66628E-05,3.07304E-05,4.59600E-05,6.13962E-05,7.60277E-05,8.79532E-05,1.02674E-04,1.18132E-04,1.32895E-04,1.48369E-04,2.58234E-06
541 nm,1.57757E-05,2.99896E-05,4.42556E-05,5.74516E-05,7.09919E-05,8.44702E-05,9.70443E-05,1.09708E-04,1.25536E-04,1.39108E-04,1.29922E-06
542 nm,1.44780E-05,2.73834E-05,4.10584E-05,5.27749E-05,6.68923E-05,7.86118E-05,8.90387E-05,1.04791E-04,1.16524E-04,1.29508E-04,1.30542E-07
543 nm,1.38285E-05,2.64366E-05,3.94100E-05,5.01489E-05,6.29819E-05,7.43881E-05,8.54098E-05,9.75116E-05,1.10339E-04,1.21749E-04,1.23252E-06
544 nm,1.30477E-05,2.39521E-05,3.66058E-05,4.71731E-05,5.73490E-05,6.80371E-05,7.88328E-05,9.14888E-05,1.02667E-04,1.14925E-04,4.13517E-09
545 nm,1.19862E-05,2.29272E-05,3.45186E-05,4.40359E-05,5.53390E-05,6.34167E-05,7.37810E-05,8.46707E-05,9.71529E-05,1.07219E-04,1.20194E-06
546 nm,1.09736E-05,2.13846E-05,3.18211E-05,4.14402E-05,5.19322E-05,5.99712E-05,7.00709E-05,7.97031E-05,9.05295E-05,1.00173E-04,1.25869E-08
547 nm,1.05698E-05,1.97936E-05,2.99160E-05,3.93084E-05,4.78844E-05,5.68966E-05,6.49563E-05,7.56164E-05,8.49973E-05,9.45931E-05,1.81484E-07
548 nm,1.00165E-05,1.88507E-05,2.77346E-05,3.60855E-05,4.65865E-05,5.20256E-05,6.07736E-05,7.16840E-05,7.94461E-05,8.84211E-05,3.58085E-07
549 nm,9.18565E-06,1.74211E-05,2.63758E-05,3.34194E-05,4.17370E-05,5.07545E-05,5.59737E-05,6.52905E-05,7.37471E-05,8.18413E-05,5.86680E-08
550 nm,8.19967E-06,1.68270E-05,2.41023E-05,3.15783E-05,3.99809E-05,4.74602E-05,5.36018E-05,6.06797E-05,6.88828E-05,7.92922E-05,1.49591E-06
551 nm,7.96129E-06,1.54774E-05,2.25512E-05,2.98499E-05,3.78225E-05,4.36376E-05,5.01290E-05,5.79935E-05,6.59644E-05,7.23629E-05,4.69289E-07
552 nm,7.48779E-06,1.39255E-05,2.14306E-05,2.81443E-05,3.44027E-05,4.02158E-05,4.77914E-05,5.34530E-05,6.15592E-05,6.80187E-05,5.02884E-08
553 nm,7.29776E-06,1.34935E-05,1.99461E-05,2.51261E-05,3.27702E-05,3.78025E-05,4.41628E-05,5.03795E-05,5.69283E-05,6.37908E-05,0.00000E+00
554 nm,6.44985E-06,1.25805E-05,1.84117E-05,2.44423E-05,3.08279E-05,3.57333E-05,4.15541E-05,4.79025E-05,5.24419E-05,6.10632E-05,3.37300E-06
555 nm,6.34136E-06,1.12936E-05,1.74214E-05,2.29019E-05,2.83558E-05,3.27774E-05,3.90116E-05,4.43946E-05,5.06087E-05,5.49701E-05,6.00688E-07
556 nm,5.86451E-06,1.08115E-05,1.66488E-05,2.12812E-05,2.67223E-05,3.13748E-05,3.61669E-05,4.10688E-05,4.60174E-05,4.99916E-05,0.00000E+00
557 nm,5.61448E-06,9.91685E-06,1.56861E-05,1.98153E-05,2.41863E-05,2.90613E-05,3.40474E-05,3.86396E-05,4.35332E-05,4.75691E-05,1.19249E-06
558 nm,5.29826E-06,9.92177E-06,1.40347E-05,1.89975E-05,2.35587E-05,2.70291E-05,3.22559E-05,3.55170E-05,4.12190E-05,4.42549E-05,2.19939E-07
559 nm,4.76603E-06,8.76318E-06,1.39340E-05,1.71637E-05,2.11150E-05,2.61592E-05,2.77339E-05,3.41553E-05,3.82615E-05,4.32007E-05,6.12178E-07
560 nm,4.69950E-06,8.02963E-06,1.24717E-05,1.71769E-05,2.15421E-05,2.47429E-05,2.71415E-05,3.11855E-05,3.59115E-05,4.01369E-05,0.00000E+00
561 nm,4.02548E-06,8.10917E-06,1.20207E-05,1.49477E-05,1.83195E-05,2.22590E-05,2.42242E-05,3.01004E-05,3.30381E-05,3.65185E-05,0.00000E+00
562 nm,3.88847E-06,7.22698E-06,1.03180E-05,1.42554E-05,1.84106E-05,2.07755E-05,2.39356E-05,2.64474E-05,3.14316E-05,3.43588E-05,1.44585E-06
563 nm,3.58064E-06,7.49165E-06,1.06229E-05,1.29899E-05,1.66979E-05,1.94360E-05,2.15859E-05,2.63215E-05,2.87747E-05,3.42159E-05,0.00000E+00
564 nm,3.57085E-06,6.47769E-06,9.56901E-06,1.25602E-05,1.63646E-05,1.82299E-05,2.06602E-05,2.41987E-05,2.68490E-05,3.01756E-05,4.59484E-08
565 nm,3.49678E-06,6.51916E-06,9.78765E-06,1.13921E-05,1.40149E-05,1.70733E-05,2.01013E-05,2.39103E-05,2.47131E-05,2.90399E-05,1.11361E-08
566 nm,2.84155E-06,5.67931E-06,8.66525E-06,1.17026E-05,1.37326E-05,1.61415E-05,1.87969E-05,2.20072E-05,2.45075E-05,2.65316E-05,2.64302E-07
