,,,,,,,,,,,
674 nm,5.92251E-09,3.01797E-07,1.91055E-08,3.64027E-09,3.27412E-07,8.69721E-07,1.59419E-07,3.04429E-07,4.77493E-07,3.04018E-07,4.65486E-07
675 nm,5.01111E-09,0.00000E+00,2.54762E-08,0.00000E+00,8.98837E-09,1.51916E-07,1.61651E-07,1.63499E-07,7.96420E-07,6.24424E-07,3.56876E-08
676 nm,1.06548E-07,1.83181E-07,8.11386E-07,1.08138E-07,6.43019E-07,3.35812E-07,5.54495E-07,2.60023E-07,0.00000E+00,5.80866E-07,8.73054E-07
677 nm,3.80468E-07,1.46543E-07,6.98921E-07,4.05309E-07,4.19674E-07,0.00000E+00,2.87857E-07,7.11609E-07,0.00000E+00,5.33149E-07,0.00000E+00
678 nm,2.33492E-07,0.00000E+00,2.03400E-07,5.50886E-08,3.25207E-07,1.52400E-07,0.00000E+00,1.57977E-07,3.70807E-07,5.42128E-07,1.22214E-06
679 nm,2.45181E-07,4.66865E-10,6.91673E-07,0.00000E+00,4.59777E-07,4.89779E-09,4.02142E-09,1.27964E-06,1.21022E-08,3.85664E-07,3.90761E-08
680 nm,4.10362E-09,0.00000E+00,2.37146E-07,3.06076E-07,5.89650E-08,0.00000E+00,7.77719E-08,0.00000E+00,0.00000E+00,2.63393E-07,2.48229E-07
681 nm,1.15091E-07,1.18974E-07,0.00000E+00,8.92037E-09,5.91593E-07,1.54020E-07,1.70799E-07,7.75535E-08,2.32087E-07,3.71939E-07,0.00000E+00
682 nm,1.20815E-09,2.08340E-07,2.95641E-07,0.00000E+00,0.00000E+00,2.74952E-08,2.78336E-07,0.00000E+00,3.00642E-07,0.00000E+00,9.35186E-07
683 nm,9.85226E-08,1.69054E-07,1.37009E-08,2.98090E-07,4.86256E-07,6.15232E-07,9.24139E-07,8.23737E-07,6.24995E-09,6.52456E-07,7.03847E-08
684 nm,6.17324E-08,3.91047E-08,2.61173E-07,5.23631E-08,2.41214E-07,2.45886E-07,8.07184E-07,0.00000E+00,2.64540E-08,1.22544E-06,6.93661E-07
685 nm,4.30054E-07,3.00229E-07,1.81845E-07,6.41995E-07,8.75912E-07,0.00000E+00,0.00000E+00,1.57064E-07,1.44418E-07,2.08264E-07,0.00000E+00
686 nm,3.51179E-07,9.25755E-08,5.35928E-07,9.28341E-08,0.00000E+00,3.51807E-07,4.97328E-07,4.27399E-07,7.78828E-08,1.01882E-06,2.86460E-07
687 nm,0.00000E+00,1.74756E-07,2.26038E-07,9.03307E-09,5.00679E-08,2.23301E-07,9.16660E-08,1.31368E-07,3.03578E-08,8.17719E-07,2.71017E-08
688 nm,1.23691E-07,2.02970E-07,1.43474E-09,3.07358E-08,6.79849E-08,3.68042E-07,3.27139E-07,3.84462E-08,3.90068E-09,3.29033E-07,6.83673E-09
689 nm,0.00000E+00,7.49490E-08,1.20820E-07,2.25142E-09,1.25309E-06,0.00000E+00,4.86481E-07,6.53762E-07,0.00000E+00,0.00000E+00,0.00000E+00
690 nm,1.11308E-07,7.37546E-08,2.39243E-08,0.00000E+00,0.00000E+00,4.21178E-08,0.00000E+00,8.51730E-07,2.66099E-07,1.13170E-07,1.27659E-07
691 nm,4.65055E-08,4.71973E-07,1.38103E-07,2.95998E-07,3.24018E-07,3.09321E-07,0.00000E+00,1.04508E-07,8.01892E-07,6.87384E-07,6.01261E-08
692 nm,0.00000E+00,4.83397E-07,1.93690E-09,3.98403E-07,1.26902E-06,0.00000E+00,4.94308E-07,3.88413E-07,1.08727E-08,3.83137E-07,3.62109E-09
693 nm,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,4.70408E-07,9.18697E-09,5.29693E-07,3.22218E-08,8.85361E-07,0.00000E+00
694 nm,1.93368E-09,4.57011E-07,5.66270E-08,7.14879E-09,3.22758E-07,0.00000E+00,1.24771E-07,3.48243E-08,0.00000E+00,1.10582E-06,3.55510E-07
695 nm,0.00000E+00,8.85073E-08,7.62898E-09,1.55697E-08,1.30593E-07,1.75905E-07,0.00000E+00,5.91443E-07,7.56077E-07,3.84195E-07,2.46684E-07
696 nm,8.14845E-08,4.39105E-07,1.99345E-07,0.00000E+00,4.55807E-07,2.26315E-08,5.46256E-07,1.01545E-07,1.36911E-06,4.01716E-08,0.00000E+00
697 nm,3.61995E-07,1.92049E-08,0.00000E+00,4.13584E-07,5.58552E-07,4.23298E-07,1.67701E-08,3.35026E-07,6.91084E-07,1.11568E-08,0.00000E+00
698 nm,2.88099E-07,3.53170E-07,0.00000E+00,7.55118E-08,0.00000E+00,8.99225E-07,4.89174E-07,0.00000E+00,6.70454E-07,3.04461E-08,7.41693E-07
699 nm,4.71779E-08,0.00000E+00,1.19723E-07,1.48617E-07,2.66443E-08,1.41393E-07,8.35157E-07,0.00000E+00,3.68637E-07,1.32014E-07,7.46137E-07
700 nm,2.81018E-08,3.90798E-07,0.00000E+00,0.00000E+00,0.00000E+00,1.35239E-06,7.05156E-07,4.41871E-07,2.44980E-08,0.00000E+00,0.00000E+00
701 nm,1.19469E-08,0.00000E+00,7.27450E-07,6.87655E-09,2.47691E-07,4.20741E-07,7.81956E-08,9.27495E-07,2.44766E-07,2.39513E-07,4.23529E-08
702 nm,5.53427E-08,1.72970E-07,0.00000E+00,0.00000E+00,2.63345E-07,7.53124E-07,3.72826E-07,2.66255E-07,0.00000E+00,1.11030E-07,3.74743E-08
703 nm,1.49174E-07,4.41264E-07,1.06926E-07,6.19996E-07,4.53176E-07,1.96457E-07,3.13448E-07,3.97329E-07,0.00000E+00,0.00000E+00,0.00000E+00
704 nm,8.33050E-09,0.00000E+00,1.39997E-07,2.09732E-07,7.41367E-08,0.00000E+00,2.40374E-07,2.84326E-07,5.76048E-07,0.00000E+00,1.37721E-06
705 nm,8.71117E-10,6.90451E-07,1.08896E-08,7.57974E-08,1.17798E-06,0.00000E+00,5.45594E-07,1.57724E-07,0.00000E+00,2.85016E-07,3.51969E-07
706 nm,0.00000E+00,1.73305E-07,4.99558E-07,2.99439E-07,4.37319E-08,1.09032E-07,4.77938E-08,5.00834E-07,4.48825E-07,0.00000E+00,1.04188E-06
707 nm,2.78075E-07,5.97404E-07,0.00000E+00,0.00000E+00,5.50185E-09,9.50982E-08,1.73953E-07,3.66934E-07,1.48290E-06,2.05402E-09,5.71279E-07
708 nm,1.21635E-07,9.07511E-09,2.41689E-08,5.72475E-07,2.51340E-08,7.51987E-07,3.07245E-07,4.97279E-07,1.14990E-07,6.93448E-07,2.81373E-07
709 nm,2.91854E-08,8.57823E-08,6.04361E-07,0.00000E+00,0.00000E+00,7.86287E-07,1.79343E-08,1.38747E-08,0.00000E+00,2.62038E-08,5.55945E-07
710 nm,0.00000E+00,1.28651E-07,2.59053E-07,8.45007E-07,6.92293E-07,4.79946E-07,1.67564E-07,5.40054E-08,2.50510E-07,1.51101E-07,0.00000E+00
711 nm,1.61378E-10,4.60280E-07,2.54969E-07,0.00000E+00,0.00000E+00,0.00000E+00,1.16584E-06,3.54084E-07,2.63662E-07,3.06590E-07,5.59775E-07
712 nm,1.00854E-08,0.00000E+00,7.47964E-08,5.61281E-07,5.32120E-07,0.00000E+00,2.40781E-07,8.31458E-07,1.60376E-06,4.32579E-07,2.69247E-07
713 nm,0.00000E+00,2.56036E-07,0.00000E+00,4.35742E-07,1.03714E-06,1.35144E-07,1.70350E-07,3.87988E-07,5.72949E-07,0.00000E+00,0.00000E+00
714 nm,2.80583E-07,3.27218E-08,4.48111E-07,6.42841E-07,0.00000E+00,8.37067E-08,0.00000E+00,2.20470E-07,2.17375E-07,9.38829E-07,8.47759E-07
715 nm,0.00000E+00,1.34234E-07,0.00000E+00,0.00000E+00,3.20422E-08,5.04602E-07,0.00000E+00,6.07480E-07,0.00000E+00,0.00000E+00,0.00000E+00
716 nm,0.00000E+00,0.00000E+00,0.00000E+00,1.79490E-07,0.00000E+00,0.00000E+00,2.89537E-07,2.81386E-07,9.33641E-07,7.26302E-09,3.59979E-07
717 nm,7.26580E-08,3.16844E-08,2.01793E-07,3.37748E-07,3.22985E-09,4.57189E-07,1.47424E-07,4.32907E-07,1.45315E-07,1.60166E-07,3.15468E-07
718 nm,9.66325E-08,0.00000E+00,0.00000E+00,2.57907E-08,7.39431E-09,7.93433E-10,1.41810E-07,8.53891E-07,6.30359E-07,0.00000E+00,1.22195E-06
719 nm,0.00000E+00,1.34290E-07,0.00000E+00,3.54344E-07,0.00000E+00,3.25816E-07,8.85987E-07,8.62116E-07,7.67484E-07,5.90584E-07,4.34003E-07
720 nm,0.00000E+00,4.26919E-07,4.75072E-07,1.02084E-07,6.91298E-07,0.00000E+00,1.37711E-07,5.64786E-07,3.42042E-07,3.85294E-07,1.50607E-06
721 nm,4.83483E-08,3.99104E-08,1.07905E-07,2.48303E-07,3.64033E-07,1.78306E-08,0.00000E+00,0.00000E+00,1.11860E-06,4.79375E-07,9.82178E-09
722 nm,0.00000E+00,2.24319E-07,2.36067E-07,1.67893E-07,1.49643E-08,9.37175E-09,4.21891E-07,1.50894E-08,7.81659E-07,1.18038E-08,6.51514E-07
723 nm,3.71034E-08,3.85576E-08,1.29687E-07,9.47660E-09,1.86309E-07,1.64543E-07,0.00000E+00,6.70734E-08,4.38120E-07,6.86374E-07,1.06564E-07
724 nm,5.61768E-08,5.43318E-07,2.32486E-07,6.46674E-08,5.03435E-07,0.00000E+00,3.07389E-07,2.00295E-07,1.98322E-07,0.00000E+00,4.37849E-07
725 nm,2.42948E-08,2.18855E-07,2.25437E-07,0.00000E+00,4.95631E-08,0.00000E+00,7.85562E-07,3.23674E-08,6.90899E-07,8.83361E-08,1.70198E-07
726 nm,3.39844E-11,1.28459E-09,0.00000E+00,5.10410E-07,8.77075E-07,3.11239E-07,3.41617E-07,2.33210E-09,0.00000E+00,3.94853E-07,5.18414E-09
727 nm,1.59519E-08,3.08643E-08,0.00000E+00,8.33006E-07,0.00000E+00,3.36308E-07,0.00000E+00,8.50344E-08,0.00000E+00,2.18362E-08,3.48108E-07
728 nm,3.31191E-08,4.71039E-08,1.19116E-07,1.01916E-07,1.09832E-06,0.00000E+00,3.48819E-07,1.32790E-07,7.94460E-07,0.00000E+00,1.26260E-06
729 nm,0.00000E+00,2.26619E-07,0.00000E+00,0.00000E+00,2.78419E-07,9.04408E-09,1.44633E-07,9.78693E-07,2.38404E-07,6.27596E-07,6.79086E-07
730 nm,0.00000E+00,8.26376E-09,1.42051E-06,2.68443E-07,1.17270E-06,2.92074E-10,2.00719E-07,3.05841E-08,1.49448E-06,2.70992E-08,1.03448E-06
731 nm,2.38822E-07,0.00000E+00,0.00000E+00,0.00000E+00,1.20812E-07,8.40919E-08,7.98545E-08,9.26549E-08,6.34207E-07,9.23991E-08,5.88583E-08
732 nm,1.96338E-07,2.74960E-07,3.72816E-07,1.04980E-07,9.00547E-07,7.36168E-08,9.47877E-07,1.79594E-07,4.79024E-07,9.09067E-07,2.89201E-07
733 nm,2.72462E-07,3.80007E-07,3.64763E-07,7.84034E-07,0.00000E+00,5.03701E-09,1.18343E-06,5.23305E-07,7.16299E-07,3.25660E-07,9.61829E-07
734 nm,7.66026E-08,1.23303E-08,5.23025E-07,4.16492E-07,3.87711E-07,0.00000E+00,1.12201E-07,1.66182E-07,6.82054E-09,0.00000E+00,1.16358E-07
735 nm,1.83265E-07,9.02806E-08,0.00000E+00,3.03155E-07,0.00000E+00,7.81950E-07,8.52597E-07,0.00000E+00,1.09787E-08,2.80160E-07,3.16107E-07
736 nm,3.89385E-07,3.70430E-07,2.14817E-07,1.11932E-07,3.21199E-08,6.44455E-07,4.99192E-08,6.71417E-07,0.00000E+00,6.04642E-07,1.10612E-06
737 nm,3.22402E-07,0.00000E+00,2.25773E-07,1.38007E-07,6.57876E-10,0.00000E+00,0.00000E+00,7.25231E-07,5.58432E-07,1.18345E-06,2.27941E-07
738 nm,1.56057E-07,4.62462E-09,1.31496E-07,0.00000E+00,2.21859E-08,0.00000E+00,8.61153E-09,5.46405E-07,7.72468E-07,3.23085E-08,6.53736E-08
739 nm,1.01990E-07,1.29693E-07,4.35738E-07,0.00000E+00,1.45811E-07,1.26287E-06,4.90670E-08,0.00000E+00,0.00000E+00,2.89267E-09,5.49240E-09
740 nm,0.00000E+00,4.64566E-07,3.74572E-07,4.18785E-08,7.96998E-07,8.47361E-07,3.15195E-07,1.14858E-07,1.28640E-07,7.47122E-08,2.03903E-07
741 nm,2.06011E-07,2.59738E-07,8.30548E-08,4.06840E-08,3.93393E-07,0.00000E+00,0.00000E+00,1.38510E-07,9.85900E-08,1.04508E-07,1.64153E-06
742 nm,0.00000E+00,0.00000E+00,0.00000E+00,2.59916E-10,6.08271E-08,0.00000E+00,8.77856E-07,0.00000E+00,4.07429E-08,0.00000E+00,6.30878E-07
743 nm,6.17652E-07,1.83673E-09,5.87873E-07,1.13554E-08,4.52026E-07,6.83635E-07,5.27257E-07,1.24692E-06,4.84300E-08,5.01616E-07,5.79778E-07
744 nm,2.68183E-07,0.00000E+00,0.00000E+00,8.74709E-08,1.11239E-07,6.31301E-08,6.92190E-07,2.49695E-07,3.72376E-07,2.59826E-07,2.46395E-06
745 nm,1.44623E-07,3.45422E-07,0.00000E+00,6.07165E-10,0.00000E+00,2.27565E-07,5.64222E-07,0.00000E+00,1.66579E-07,1.70951E-07,8.34233E-07
746 nm,8.22601E-10,8.29379E-08,2.56452E-07,0.00000E+00,7.10892E-07,0.00000E+00,0.00000E+00,1.26542E-08,6.10278E-08,9.18367E-07,4.64796E-07
747 nm,1.65692E-10,7.07551E-09,0.00000E+00,4.31881E-07,0.00000E+00,2.71917E-07,1.51896E-08,2.38966E-08,7.17718E-09,1.93346E-07,3.09142E-06
748 nm,3.07306E-09,3.27751E-09,0.00000E+00,1.16782E-07,3.21237E-08,0.00000E+00,2.42563E-07,8.14495E-07,0.00000E+00,2.44301E-07,1.08137E-06
749 nm,0.00000E+00,0.00000E+00,1.71251E-07,5.21112E-07,0.00000E+00,7.25230E-07,8.94970E-07,4.19348E-07,2.30811E-08,0.00000E+00,8.80389E-07
750 nm,1.11033E-07,2.97683E-07,3.42737E-07,8.79442E-08,1.44014E-07,8.26781E-07,1.04314E-06,3.16243E-08,5.68284E-08,5.77811E-07,2.02705E-06
751 nm,0.00000E+00,0.00000E+00,1.40380E-06,9.69013E-10,0.00000E+00,0.00000E+00,7.29545E-07,0.00000E+00,1.47338E-06,1.20943E-06,2.83101E-06
752 nm,0.00000E+00,5.55149E-08,3.22118E-07,1.25806E-07,0.00000E+00,5.26500E-08,0.00000E+00,9.81074E-08,6.22120E-08,3.68620E-07,2.57452E-06
753 nm,2.12896E-07,4.03593E-08,1.19709E-07,3.81097E-07,1.42373E-07,0.00000E+00,0.00000E+00,6.32778E-07,7.07607E-08,6.78212E-07,1.21350E-06
754 nm,2.41658E-08,4.19323E-07,7.19682E-09,0.00000E+00,1.18527E-06,1.64475E-06,6.27030E-07,1.17872E-07,1.40343E-07,4.91501E-07,3.77376E-06
755 nm,3.91191E-07,0.00000E+00,1.83036E-08,2.19707E-07,0.00000E+00,0.00000E+00,0.00000E+00,9.04239E-09,1.96616E-08,8.96935E-07,2.74825E-06
756 nm,0.00000E+00,4.71777E-07,5.44793E-07,0.00000E+00,3.61098E-08,6.35097E-08,3.45232E-08,0.00000E+00,5.43629E-07,0.00000E+00,1.39442E-06
757 nm,3.30604E-07,9.63893E-08,0.00000E+00,9.57668E-09,5.07344E-09,2.03272E-07,0.00000E+00,1.12407E-06,1.41061E-07,7.69660E-08,3.81038E-06
758 nm,4.52565E-08,6.13779E-07,9.18297E-09,0.00000E+00,5.88428E-08,6.12748E-08,4.56953E-07,4.01043E-07,1.41500E-07,3.86288E-07,3.21526E-06
759 nm,3.15752E-07,0.00000E+00,0.00000E+00,0.00000E+00,1.38177E-06,0.00000E+00,6.39749E-07,5.53885E-07,4.96427E-07,0.00000E+00,3.43891E-06
760 nm,0.00000E+00,3.84719E-07,1.09230E-07,1.27036E-07,2.02637E-07,2.08649E-07,5.90213E-07,1.39164E-07,7.42251E-07,3.53788E-08,5.83149E-06
761 nm,1.94175E-07,5.05118E-07,6.52306E-07,4.57250E-07,7.08698E-07,4.29020E-07,5.73186E-07,2.24048E-07,4.57023E-08,0.00000E+00,7.39367E-06
762 nm,7.38761E-08,9.61156E-08,1.30307E-07,4.71105E-08,2.96951E-07,0.00000E+00,2.03330E-07,0.00000E+00,0.00000E+00,1.00603E-06,7.03176E-06
763 nm,5.20581E-10,2.99465E-07,5.15624E-07,3.00851E-09,1.03223E-07,1.08680E-09,2.49349E-09,5.80571E-07,9.28985E-07,0.00000E+00,7.04563E-06
764 nm,3.97930E-08,4.56219E-07,0.00000E+00,3.14230E-07,0.00000E+00,1.50402E-08,9.04563E-08,0.00000E+00,5.10517E-07,1.51644E-08,9.42568E-06
765 nm,8.52033E-08,1.52812E-07,5.22793E-08,0.00000E+00,3.79478E-08,0.00000E+00,8.82677E-08,1.19237E-07,0.00000E+00,2.02248E-07,7.56912E-06
766 nm,9.65351E-09,1.17458E-07,4.70585E-08,1.00776E-06,0.00000E+00,5.24149E-07,0.00000E+00,0.00000E+00,1.23436E-06,0.00000E+00,9.21643E-06
767 nm,2.90606E-10,5.38556E-10,1.13095E-06,1.08068E-09,6.45225E-07,1.43003E-09,1.58982E-06,5.91190E-07,1.75273E-07,8.48594E-07,1.03877E-05
768 nm,5.98783E-07,2.83460E-07,5.86506E-07,7.18328E-07,9.94076E-08,1.48649E-06,2.99393E-07,1.08165E-06,4.05477E-07,0.00000E+00,1.25485E-05
769 nm,3.16422E-07,0.00000E+00,0.00000E+00,0.00000E+00,3.85274E-07,1.06488E-07,9.61359E-07,0.00000E+00,6.27718E-07,1.66237E-07,1.05884E-05
770 nm,2.60712E-07,9.55080E-07,4.57092E-07,4.19374E-07,2.66844E-07,0.00000E+00,1.48779E-06,4.89732E-07,0.00000E+00,6.93199E-08,1.39743E-05
771 nm,5.34759E-07,2.02401E-07,1.85406E-09,1.72855E-09,1.20754E-06,1.27895E-09,2.98708E-07,3.41595E-09,1.07056E-06,4.80865E-07,1.45012E-05
772 nm,3.01473E-08,1.25597E-08,2.05765E-07,0.00000E+00,9.97154E-07,9.37607E-08,2.12368E-09,1.70750E-08,0.00000E+00,2.41442E-07,1.98118E-05
773 nm,6.62590E-07,0.00000E+00,1.59136E-07,1.15017E-06,1.25748E-08,0.00000E+00,1.96874E-08,1.96145E-08,3.34948E-08,1.12403E-06,1.70068E-05
774 nm,1.23637E-07,1.87481E-09,4.94803E-07,5.27832E-07,0.00000E+00,3.42328E-09,1.02854E-07,1.38669E-07,2.39003E-08,8.24817E-07,1.91512E-05
775 nm,2.01222E-10,5.56435E-10,3.16181E-07,1.31449E-07,1.37122E-08,1.53574E-09,2.08118E-06,2.40125E-09,2.01588E-09,3.21982E-09,2.10940E-05
776 nm,1.61468E-07,0.00000E+00,8.03441E-08,3.27943E-07,2.73535E-07,3.03351E-09,0.00000E+00,4.34906E-09,5.88934E-07,3.96736E-08,2.81397E-05
777 nm,1.84222E-07,2.00696E-07,2.63976E-07,0.00000E+00,8.56452E-07,0.00000E+00,4.58302E-07,1.37074E-08,4.06265E-07,1.59879E-08,2.55728E-05
778 nm,0.00000E+00,0.00000E+00,0.00000E+00,8.24536E-09,8.94379E-07,4.11311E-08,0.00000E+00,0.00000E+00,0.00000E+00,1.88930E-07,3.09416E-05
779 nm,3.27368E-07,7.17309E-07,7.85711E-07,1.27522E-09,1.34624E-06,6.20019E-09,1.05677E-06,3.73320E-07,1.35642E-06,2.24228E-07,3.47809E-05
780 nm,6.73514E-07,0.00000E+00,0.00000E+00,0.00000E+00,6.12238E-07,1.08553E-06,0.00000E+00,0.00000E+00,5.83495E-07,2.34239E-07,3.65796E-05
