,,,,,,,,,,,,,,,
407 nm,7.40528E-07,9.96442E-07,2.47914E-04,7.40528E-07,9.96442E-07,2.47914E-04,7.40528E-07,3.24044E-07,4.78721E-07,1.34475E-07,0.00000E+00,7.34521E-07,9.96442E-07,2.47914E-04,7.40528E-07
408 nm,8.84126E-07,7.90621E-07,2.86195E-04,8.84126E-07,7.90621E-07,2.86195E-04,8.84126E-07,5.27667E-07,3.33092E-07,3.33741E-07,3.11462E-08,1.31398E-06,7.90621E-07,2.86195E-04,8.84126E-07
409 nm,1.04234E-06,1.83883E-06,3.15031E-04,1.04234E-06,1.83883E-06,3.15031E-04,1.04234E-06,9.00352E-07,4.33750E-08,4.42993E-07,2.47788E-07,1.17627E-06,1.83883E-06,3.15031E-04,1.04234E-06
410 nm,6.62434E-07,1.22974E-06,3.75589E-04,6.62434E-07,1.22974E-06,3.75589E-04,6.62434E-07,5.61427E-07,3.45435E-07,6.65495E-07,7.53111E-07,1.22206E-06,1.22974E-06,3.75589E-04,6.62434E-07
411 nm,1.85056E-06,1.41519E-06,4.20610E-04,1.85056E-06,1.41519E-06,4.20610E-04,1.85056E-06,6.46605E-07,1.72885E-07,7.89548E-07,4.38680E-08,8.60439E-07,1.41519E-06,4.20610E-04,1.85056E-06
412 nm,1.69096E-06,1.17507E-06,4.94659E-04,1.69096E-06,1.17507E-06,4.94659E-04,1.69096E-06,7.36454E-07,1.83081E-07,7.63244E-07,1.37730E-07,2.06288E-06,1.17507E-06,4.94659E-04,1.69096E-06
413 nm,1.93536E-06,2.05537E-06,5.45746E-04,1.93536E-06,2.05537E-06,5.45746E-04,1.93536E-06,1.09795E-06,9.04230E-08,6.12619E-07,4.07259E-07,2.43898E-06,2.05537E-06,5.45746E-04,1.93536E-06
414 nm,2.04838E-06,2.67311E-06,6.49065E-04,2.04838E-06,2.67311E-06,6.49065E-04,2.04838E-06,1.19935E-06,2.01771E-07,8.24347E-07,3.60530E-08,2.62800E-06,2.67311E-06,6.49065E-04,2.04838E-06
415 nm,2.67732E-06,2.99913E-06,7.48977E-04,2.67732E-06,2.99913E-06,7.48977E-04,2.67732E-06,1.18806E-06,3.25259E-08,8.78674E-07,2.63780E-07,2.64812E-06,2.99913E-06,7.48977E-04,2.67732E-06
416 nm,3.70454E-06,3.62052E-06,9.11940E-04,3.70454E-06,3.62052E-06,9.11940E-04,3.70454E-06,1.29699E-06,2.39336E-07,1.41045E-06,5.27496E-07,3.53470E-06,3.62052E-06,9.11940E-04,3.70454E-06
417 nm,3.80448E-06,4.14510E-06,1.04169E-03,3.80448E-06,4.14510E-06,1.04169E-03,3.80448E-06,1.61957E-06,1.46331E-07,1.44827E-06,1.98717E-08,4.07432E-06,4.14510E-06,1.04169E-03,3.80448E-06
418 nm,4.20525E-06,4.50834E-06,1.25638E-03,4.20525E-06,4.50834E-06,1.25638E-03,4.20525E-06,2.07767E-06,1.13592E-07,1.57710E-06,5.18307E-07,4.26813E-06,4.50834E-06,1.25638E-03,4.20525E-06
419 nm,5.34719E-06,5.57233E-06,1.42789E-03,5.34719E-06,5.57233E-06,1.42789E-03,5.34719E-06,2.23439E-06,1.23107E-07,1.82990E-06,4.38226E-07,5.23108E-06,5.57233E-06,1.42789E-03,5.34719E-06
420 nm,6.04055E-06,6.85249E-06,1.62003E-03,6.04055E-06,6.85249E-06,1.62003E-03,6.04055E-06,2.71943E-06,2.20731E-07,2.44977E-06,2.83862E-07,6.12700E-06,6.85249E-06,1.62003E-03,6.04055E-06
421 nm,7.09992E-06,7.95537E-06,1.88434E-03,7.09992E-06,7.95537E-06,1.88434E-03,7.09992E-06,2.78270E-06,1.86821E-07,2.86505E-06,0.00000E+00,7.38457E-06,7.95537E-06,1.88434E-03,7.09992E-06
422 nm,8.30528E-06,9.01780E-06,2.14895E-03,8.30528E-06,9.01780E-06,2.14895E-03,8.30528E-06,3.66237E-06,4.57876E-07,2.48679E-06,2.22931E-07,8.40540E-06,9.01780E-06,2.14895E-03,8.30528E-06
423 nm,9.80099E-06,1.02946E-05,2.49918E-03,9.80099E-06,1.02946E-05,2.49918E-03,9.80099E-06,4.08605E-06,2.95342E-07,3.60100E-06,4.96034E-07,9.88744E-06,1.02946E-05,2.49918E-03,9.80099E-06
424 nm,1.07594E-05,1.16517E-05,2.81496E-03,1.07594E-05,1.16517E-05,2.81496E-03,1.07594E-05,4.67441E-06,5.15762E-07,3.80262E-06,1.80484E-07,1.12429E-05,1.16517E-05,2.81496E-03,1.07594E-05
425 nm,1.18808E-05,1.29945E-05,3.10449E-03,1.18808E-05,1.29945E-05,3.10449E-03,1.18808E-05,5.62100E-06,1.61088E-07,4.83733E-06,9.82698E-08,1.32195E-05,1.29945E-05,3.10449E-03,1.18808E-05
426 nm,1.36340E-05,1.52446E-05,3.47100E-03,1.36340E-05,1.52446E-05,3.47100E-03,1.36340E-05,6.86753E-06,3.56071E-07,5.60497E-06,1.74861E-07,1.51516E-05,1.52446E-05,3.47100E-03,1.36340E-05
427 nm,1.51923E-05,1.69523E-05,3.93637E-03,1.51923E-05,1.69523E-05,3.93637E-03,1.51923E-05,7.67215E-06,1.17786E-07,6.34609E-06,1.60176E-08,1.68650E-05,1.69523E-05,3.93637E-03,1.51923E-05
428 nm,1.64947E-05,1.91146E-05,4.44584E-03,1.64947E-05,1.91146E-05,4.44584E-03,1.64947E-05,8.19090E-06,5.09433E-07,7.20558E-06,2.15701E-07,1.84263E-05,1.91146E-05,4.44584E-03,1.64947E-05
429 nm,1.86765E-05,2.12995E-05,4.82578E-03,1.86765E-05,2.12995E-05,4.82578E-03,1.86765E-05,9.72211E-06,4.08408E-07,8.68200E-06,5.29247E-07,2.06636E-05,2.12995E-05,4.82578E-03,1.86765E-05
430 nm,2.11215E-05,2.32882E-05,5.28114E-03,2.11215E-05,2.32882E-05,5.28114E-03,2.11215E-05,1.07682E-05,3.40275E-07,9.54060E-06,8.08083E-08,2.34511E-05,2.32882E-05,5.28114E-03,2.11215E-05
431 nm,2.33865E-05,2.50540E-05,5.76145E-03,2.33865E-05,2.50540E-05,5.76145E-03,2.33865E-05,1.18244E-05,2.80197E-07,1.02316E-05,0.00000E+00,2.55440E-05,2.50540E-05,5.76145E-03,2.33865E-05
432 nm,2.52268E-05,2.77873E-05,6.30624E-03,2.52268E-05,2.77873E-05,6.30624E-03,2.52268E-05,1.33741E-05,7.24056E-07,1.16880E-05,9.20902E-08,2.81976E-05,2.77873E-05,6.30624E-03,2.52268E-05
433 nm,2.83460E-05,3.11837E-05,6.85748E-03,2.83460E-05,3.11837E-05,6.85748E-03,2.83460E-05,1.51008E-05,9.84344E-07,1.28218E-05,3.29542E-07,3.10271E-05,3.11837E-05,6.85748E-03,2.83460E-05
434 nm,3.10161E-05,3.32773E-05,7.43922E-03,3.10161E-05,3.32773E-05,7.43922E-03,3.10161E-05,1.66859E-05,2.33468E-06,1.40098E-05,1.20734E-07,3.39021E-05,3.32773E-05,7.43922E-03,3.10161E-05
435 nm,3.43291E-05,3.61401E-05,7.94417E-03,3.43291E-05,3.61401E-05,7.94417E-03,3.43291E-05,1.86287E-05,3.05525E-06,1.58708E-05,3.88718E-07,3.71809E-05,3.61401E-05,7.94417E-03,3.43291E-05
436 nm,3.70560E-05,3.98244E-05,8.63727E-03,3.70560E-05,3.98244E-05,8.63727E-03,3.70560E-05,2.05481E-05,3.24673E-06,1.77980E-05,4.41153E-07,4.03902E-05,3.98244E-05,8.63727E-03,3.70560E-05
437 nm,3.98369E-05,4.23939E-05,9.16402E-03,3.98369E-05,4.23939E-05,9.16402E-03,3.98369E-05,2.26760E-05,2.31926E-06,1.93427E-05,4.25281E-09,4.34586E-05,4.23939E-05,9.16402E-03,3.98369E-05
438 nm,4.26108E-05,4.60817E-05,9.66208E-03,4.26108E-05,4.60817E-05,9.66208E-03,4.26108E-05,2.49113E-05,1.91403E-06,2.13297E-05,1.32519E-09,4.65657E-05,4.60817E-05,9.66208E-03,4.26108E-05
439 nm,4.56728E-05,4.99242E-05,1.03789E-02,4.56728E-05,4.99242E-05,1.03789E-02,4.56728E-05,2.72026E-05,1.22175E-06,2.34893E-05,2.63951E-08,5.04344E-05,4.99242E-05,1.03789E-02,4.56728E-05
440 nm,4.94616E-05,5.32971E-05,1.08817E-02,4.94616E-05,5.32971E-05,1.08817E-02,4.94616E-05,2.99493E-05,9.04864E-07,2.56787E-05,5.38883E-08,5.34522E-05,5.32971E-05,1.08817E-02,4.94616E-05
441 nm,5.19260E-05,5.60926E-05,1.13184E-02,5.19260E-05,5.60926E-05,1.13184E-02,5.19260E-05,3.20054E-05,5.80111E-07,2.71193E-05,0.00000E+00,5.66523E-05,5.60926E-05,1.13184E-02,5.19260E-05
442 nm,5.45199E-05,5.77425E-05,1.18991E-02,5.45199E-05,5.77425E-05,1.18991E-02,5.45199E-05,3.40366E-05,7.39972E-07,2.89550E-05,4.90586E-07,5.91748E-05,5.77425E-05,1.18991E-02,5.45199E-05
443 nm,5.58681E-05,6.01569E-05,1.20506E-02,5.58681E-05,6.01569E-05,1.20506E-02,5.58681E-05,3.60302E-05,6.56032E-07,3.04878E-05,3.55305E-07,6.15271E-05,6.01569E-05,1.20506E-02,5.58681E-05
444 nm,5.82519E-05,6.12397E-05,1.22230E-02,5.82519E-05,6.12397E-05,1.22230E-02,5.82519E-05,3.74148E-05,5.30580E-07,3.19325E-05,4.51268E-07,6.28589E-05,6.12397E-05,1.22230E-02,5.82519E-05
445 nm,5.95379E-05,6.18546E-05,1.22803E-02,5.95379E-05,6.18546E-05,1.22803E-02,5.95379E-05,3.83510E-05,6.09474E-07,3.24312E-05,3.55393E-07,6.38942E-05,6.18546E-05,1.22803E-02,5.95379E-05
446 nm,5.95274E-05,6.19779E-05,1.21427E-02,5.95274E-05,6.19779E-05,1.21427E-02,5.95274E-05,3.86057E-05,7.56786E-07,3.26719E-05,4.57878E-07,6.33592E-05,6.19779E-05,1.21427E-02,5.95274E-05
447 nm,5.88449E-05,6.10671E-05,1.19146E-02,5.88449E-05,6.10671E-05,1.19146E-02,5.88449E-05,3.78147E-05,6.82851E-07,3.26872E-05,4.99396E-07,6.30654E-05,6.10671E-05,1.19146E-02,5.88449E-05
448 nm,5.77318E-05,5.99372E-05,1.14022E-02,5.77318E-05,5.99372E-05,1.14022E-02,5.77318E-05,3.70637E-05,8.65827E-07,3.16588E-05,3.75235E-07,6.00681E-05,5.99372E-05,1.14022E-02,5.77318E-05
449 nm,5.55809E-05,5.68917E-05,1.09619E-02,5.55809E-05,5.68917E-05,1.09619E-02,5.55809E-05,3.54349E-05,6.00357E-07,3.05880E-05,4.99306E-07,5.75320E-05,5.68917E-05,1.09619E-02,5.55809E-05
450 nm,5.23903E-05,5.42019E-05,1.02541E-02,5.23903E-05,5.42019E-05,1.02541E-02,5.23903E-05,3.39848E-05,5.87124E-07,2.88350E-05,1.01112E-07,5.42494E-05,5.42019E-05,1.02541E-02,5.23903E-05
451 nm,4.98737E-05,5.14957E-05,9.71480E-03,4.98737E-05,5.14957E-05,9.71480E-03,4.98737E-05,3.13985E-05,7.31588E-07,2.67617E-05,8.81998E-08,5.10188E-05,5.14957E-05,9.71480E-03,4.98737E-05
452 nm,4.60602E-05,4.75089E-05,8.84238E-03,4.60602E-05,4.75089E-05,8.84238E-03,4.60602E-05,2.93692E-05,5.81944E-07,2.52166E-05,6.41504E-07,4.83301E-05,4.75089E-05,8.84238E-03,4.60602E-05
453 nm,4.32778E-05,4.28333E-05,8.11378E-03,4.32778E-05,4.28333E-05,8.11378E-03,4.32778E-05,2.62070E-05,8.64947E-07,2.23404E-05,4.00872E-07,4.37963E-05,4.28333E-05,8.11378E-03,4.32778E-05
454 nm,3.99746E-05,4.04288E-05,7.43451E-03,3.99746E-05,4.04288E-05,7.43451E-03,3.99746E-05,2.39135E-05,3.00298E-07,2.08240E-05,0.00000E+00,4.00575E-05,4.04288E-05,7.43451E-03,3.99746E-05
455 nm,3.64788E-05,3.64178E-05,6.74915E-03,3.64788E-05,3.64178E-05,6.74915E-03,3.64788E-05,2.19139E-05,6.44571E-07,1.85933E-05,8.85166E-08,3.67680E-05,3.64178E-05,6.74915E-03,3.64788E-05
456 nm,3.40239E-05,3.37305E-05,6.24040E-03,3.40239E-05,3.37305E-05,6.24040E-03,3.40239E-05,2.00891E-05,6.66153E-07,1.68090E-05,2.06859E-07,3.32638E-05,3.37305E-05,6.24040E-03,3.40239E-05
457 nm,3.04225E-05,3.08675E-05,5.63800E-03,3.04225E-05,3.08675E-05,5.63800E-03,3.04225E-05,1.82603E-05,8.95064E-07,1.56493E-05,5.80616E-07,3.02851E-05,3.08675E-05,5.63800E-03,3.04225E-05
458 nm,2.87160E-05,2.76106E-05,5.13697E-03,2.87160E-05,2.76106E-05,5.13697E-03,2.87160E-05,1.64386E-05,9.25217E-07,1.44321E-05,3.53586E-08,2.74930E-05,2.76106E-05,5.13697E-03,2.87160E-05
459 nm,2.63049E-05,2.56526E-05,4.68293E-03,2.63049E-05,2.56526E-05,4.68293E-03,2.63049E-05,1.51110E-05,5.60922E-07,1.30960E-05,2.95320E-07,2.60327E-05,2.56526E-05,4.68293E-03,2.63049E-05
460 nm,2.42520E-05,2.32829E-05,4.26473E-03,2.42520E-05,2.32829E-05,4.26473E-03,2.42520E-05,1.37072E-05,6.73875E-07,1.18689E-05,4.42844E-07,2.32309E-05,2.32829E-05,4.26473E-03,2.42520E-05
461 nm,2.26531E-05,2.16451E-05,3.88634E-03,2.26531E-05,2.16451E-05,3.88634E-03,2.26531E-05,1.27975E-05,7.24211E-07,1.09263E-05,6.05627E-07,2.18245E-05,2.16451E-05,3.88634E-03,2.26531E-05
462 nm,2.08941E-05,2.04069E-05,3.61376E-03,2.08941E-05,2.04069E-05,3.61376E-03,2.08941E-05,1.18560E-05,6.92173E-07,1.01816E-05,4.07969E-07,1.99550E-05,2.04069E-05,3.61376E-03,2.08941E-05
463 nm,1.99460E-05,1.89216E-05,3.39530E-03,1.99460E-05,1.89216E-05,3.39530E-03,1.99460E-05,1.06699E-05,4.96751E-07,9.13265E-06,6.65066E-07,1.85111E-05,1.89216E-05,3.39530E-03,1.99460E-05
464 nm,1.85269E-05,1.74798E-05,3.07551E-03,1.85269E-05,1.74798E-05,3.07551E-03,1.85269E-05,1.02832E-05,8.39116E-07,8.99763E-06,4.44727E-07,1.75944E-05,1.74798E-05,3.07551E-03,1.85269E-05
465 nm,1.70891E-05,1.61180E-05,2.85312E-03,1.70891E-05,1.61180E-05,2.85312E-03,1.70891E-05,9.59261E-06,6.50960E-07,8.10936E-06,2.18886E-07,1.62551E-05,1.61180E-05,2.85312E-03,1.70891E-05
466 nm,1.61972E-05,1.52825E-05,2.63737E-03,1.61972E-05,1.52825E-05,2.63737E-03,1.61972E-05,8.74169E-06,9.01629E-07,7.46936E-06,3.33867E-07,1.53165E-05,1.52825E-05,2.63737E-03,1.61972E-05
467 nm,1.49786E-05,1.40176E-05,2.42907E-03,1.49786E-05,1.40176E-05,2.42907E-03,1.49786E-05,8.09502E-06,5.93560E-07,7.37080E-06,1.70042E-07,1.41775E-05,1.40176E-05,2.42907E-03,1.49786E-05
468 nm,1.46588E-05,1.28027E-05,2.23617E-03,1.46588E-05,1.28027E-05,2.23617E-03,1.46588E-05,7.78858E-06,7.86900E-07,6.54557E-06,6.43276E-07,1.32579E-05,1.28027E-05,2.23617E-03,1.46588E-05
469 nm,1.32908E-05,1.23443E-05,2.10962E-03,1.32908E-05,1.23443E-05,2.10962E-03,1.32908E-05,7.04789E-06,6.92567E-07,6.10152E-06,4.85868E-07,1.20236E-05,1.23443E-05,2.10962E-03,1.32908E-05
470 nm,1.21654E-05,1.14710E-05,1.93147E-03,1.21654E-05,1.14710E-05,1.93147E-03,1.21654E-05,6.75604E-06,7.59983E-07,5.93903E-06,5.05596E-07,1.14309E-05,1.14710E-05,1.93147E-03,1.21654E-05
471 nm,1.11723E-05,1.06173E-05,1.82615E-03,1.11723E-05,1.06173E-05,1.82615E-03,1.11723E-05,6.30353E-06,5.97749E-07,5.28693E-06,4.37993E-07,1.05751E-05,1.06173E-05,1.82615E-03,1.11723E-05
472 nm,1.08772E-05,1.00371E-05,1.64282E-03,1.08772E-05,1.00371E-05,1.64282E-03,1.08772E-05,5.81410E-06,6.29937E-07,5.10864E-06,5.96834E-07,1.01435E-05,1.00371E-05,1.64282E-03,1.08772E-05
473 nm,1.04391E-05,9.07697E-06,1.61036E-03,1.04391E-05,9.07697E-06,1.61036E-03,1.04391E-05,5.52657E-06,6.11053E-07,4.77190E-06,5.92223E-07,9.07638E-06,9.07697E-06,1.61036E-03,1.04391E-05
474 nm,9.59508E-06,9.24182E-06,1.52031E-03,9.59508E-06,9.24182E-06,1.52031E-03,9.59508E-06,5.20143E-06,6.06200E-07,4.31865E-06,1.07361E-07,8.82719E-06,9.24182E-06,1.52031E-03,9.59508E-06
475 nm,9.15275E-06,8.59523E-06,1.41049E-03,9.15275E-06,8.59523E-06,1.41049E-03,9.15275E-06,4.90544E-06,6.67391E-07,4.16285E-06,8.60029E-09,8.43550E-06,8.59523E-06,1.41049E-03,9.15275E-06
476 nm,8.41945E-06,8.49347E-06,1.34294E-03,8.41945E-06,8.49347E-06,1.34294E-03,8.41945E-06,4.93432E-06,3.57129E-07,3.93998E-06,5.79643E-08,7.99313E-06,8.49347E-06,1.34294E-03,8.41945E-06
477 nm,8.37586E-06,7.74128E-06,1.27762E-03,8.37586E-06,7.74128E-06,1.27762E-03,8.37586E-06,4.39910E-06,4.92128E-07,4.09258E-06,1.74009E-07,7.76246E-06,7.74128E-06,1.27762E-03,8.37586E-06
478 nm,8.25994E-06,7.51020E-06,1.26223E-03,8.25994E-06,7.51020E-06,1.26223E-03,8.25994E-06,4.39176E-06,5.77665E-07,3.82070E-06,2.29587E-07,7.33063E-06,7.51020E-06,1.26223E-03,8.25994E-06
479 nm,7.95864E-06,7.65268E-06,1.21622E-03,7.95864E-06,7.65268E-06,1.21622E-03,7.95864E-06,4.10260E-06,4.58462E-07,3.77064E-06,1.21314E-07,7.23305E-06,7.65268E-06,1.21622E-03,7.95864E-06
480 nm,7.22289E-06,7.07412E-06,1.18344E-03,7.22289E-06,7.07412E-06,1.18344E-03,7.22289E-06,3.95195E-06,3.86718E-07,3.54615E-06,3.19989E-07,7.26413E-06,7.07412E-06,1.18344E-03,7.22289E-06
481 nm,7.26693E-06,6.61791E-06,1.16481E-03,7.26693E-06,6.61791E-06,1.16481E-03,7.26693E-06,4.16394E-06,6.28562E-07,3.24729E-06,2.38639E-07,6.49483E-06,6.61791E-06,1.16481E-03,7.26693E-06
482 nm,7.54114E-06,7.04929E-06,1.13108E-03,7.54114E-06,7.04929E-06,1.13108E-03,7.54114E-06,3.72949E-06,3.67138E-07,3.00415E-06,1.75055E-08,6.81646E-06,7.04929E-06,1.13108E-03,7.54114E-06
483 nm,7.22578E-06,6.57465E-06,1.10852E-03,7.22578E-06,6.57465E-06,1.10852E-03,7.22578E-06,3.75634E-06,9.05563E-07,3.38121E-06,4.40990E-07,6.39924E-06,6.57465E-06,1.10852E-03,7.22578E-06
484 nm,7.11504E-06,6.65398E-06,1.06612E-03,7.11504E-06,6.65398E-06,1.06612E-03,7.11504E-06,3.67319E-06,9.06374E-07,3.15970E-06,3.50621E-08,6.61557E-06,6.65398E-06,1.06612E-03,7.11504E-06
485 nm,6.74238E-06,6.56360E-06,1.05673E-03,6.74238E-06,6.56360E-06,1.05673E-03,6.74238E-06,3.57788E-06,1.16256E-06,2.96228E-06,3.29021E-07,6.60126E-06,6.56360E-06,1.05673E-03,6.74238E-06
486 nm,7.32033E-06,6.47589E-06,1.08752E-03,7.32033E-06,6.47589E-06,1.08752E-03,7.32033E-06,3.83285E-06,1.46600E-06,3.20790E-06,1.13238E-07,6.69537E-06,6.47589E-06,1.08752E-03,7.32033E-06
487 nm,7.01654E-06,6.48852E-06,1.11560E-03,7.01654E-06,6.48852E-06,1.11560E-03,7.01654E-06,3.86540E-06,1.23226E-06,3.30398E-06,1.64723E-07,6.70189E-06,6.48852E-06,1.11560E-03,7.01654E-06
488 nm,7.30211E-06,6.54524E-06,1.07768E-03,7.30211E-06,6.54524E-06,1.07768E-03,7.30211E-06,3.77069E-06,1.47713E-06,3.34357E-06,1.29719E-07,6.77597E-06,6.54524E-06,1.07768E-03,7.30211E-06
489 nm,7.30522E-06,6.92101E-06,1.14401E-03,7.30522E-06,6.92101E-06,1.14401E-03,7.30522E-06,3.88643E-06,1.38183E-06,3.22532E-06,6.23008E-09,6.94627E-06,6.92101E-06,1.14401E-03,7.30522E-06
490 nm,7.75421E-06,7.47671E-06,1.14285E-03,7.75421E-06,7.47671E-06,1.14285E-03,7.75421E-06,4.02631E-06,1.32215E-06,3.61047E-06,2.76940E-08,7.24741E-06,7.47671E-06,1.14285E-03,7.75421E-06
491 nm,7.72188E-06,7.49607E-06,1.17415E-03,7.72188E-06,7.49607E-06,1.17415E-03,7.72188E-06,4.52030E-06,1.30839E-06,3.62414E-06,0.00000E+00,6.97139E-06,7.49607E-06,1.17415E-03,7.72188E-06
492 nm,8.25467E-06,7.78477E-06,1.19085E-03,8.25467E-06,7.78477E-06,1.19085E-03,8.25467E-06,4.34582E-06,1.30281E-06,3.54654E-06,1.69006E-07,7.88252E-06,7.78477E-06,1.19085E-03,8.25467E-06
493 nm,8.49081E-06,7.94275E-06,1.26621E-03,8.49081E-06,7.94275E-06,1.26621E-03,8.49081E-06,4.89633E-06,1.12355E-06,3.93040E-06,5.07551E-09,7.51153E-06,7.94275E-06,1.26621E-03,8.49081E-06
494 nm,8.81263E-06,8.34008E-06,1.37362E-03,8.81263E-06,8.34008E-06,1.37362E-03,8.81263E-06,4.93396E-06,9.12771E-07,4.15781E-06,7.25481E-08,8.30984E-06,8.34008E-06,1.37362E-03,8.81263E-06
495 nm,9.30257E-06,8.77962E-06,1.44532E-03,9.30257E-06,8.77962E-06,1.44532E-03,9.30257E-06,5.22253E-06,8.50676E-07,4.38112E-06,0.00000E+00,8.96487E-06,8.77962E-06,1.44532E-03,9.30257E-06
496 nm,1.01577E-05,9.54014E-06,1.46584E-03,1.01577E-05,9.54014E-06,1.46584E-03,1.01577E-05,5.56072E-06,8.80866E-07,4.55474E-06,3.25744E-07,8.68360E-06,9.54014E-06,1.46584E-03,1.01577E-05
497 nm,1.04383E-05,9.74783E-06,1.54471E-03,1.04383E-05,9.74783E-06,1.54471E-03,1.04383E-05,5.76074E-06,7.95696E-07,4.68205E-06,2.72105E-07,1.02714E-05,9.74783E-06,1.54471E-03,1.04383E-05
498 nm,1.05056E-05,1.05043E-05,1.64597E-03,1.05056E-05,1.05043E-05,1.64597E-03,1.05056E-05,6.27249E-06,8.99845E-07,4.90098E-06,4.28320E-08,1.02563E-05,1.05043E-05,1.64597E-03,1.05056E-05
499 nm,1.13932E-05,1.10456E-05,1.72544E-03,1.13932E-05,1.10456E-05,1.72544E-03,1.13932E-05,6.50230E-06,6.94267E-07,5.40550E-06,1.13697E-07,1.10695E-05,1.10456E-05,1.72544E-03,1.13932E-05
