,,,,,,,,,,,,,,,
500 nm,1.17792E-05,1.15363E-05,1.78837E-03,1.17792E-05,1.15363E-05,1.78837E-03,1.17792E-05,6.93054E-06,4.98259E-07,5.52831E-06,2.86911E-08,1.17504E-05,1.15363E-05,1.78837E-03,1.17792E-05
501 nm,1.25034E-05,1.23797E-05,1.93073E-03,1.25034E-05,1.23797E-05,1.93073E-03,1.25034E-05,7.34755E-06,3.41088E-07,6.15697E-06,0.00000E+00,1.23537E-05,1.23797E-05,1.93073E-03,1.25034E-05
502 nm,1.31158E-05,1.27116E-05,1.98107E-03,1.31158E-05,1.27116E-05,1.98107E-03,1.31158E-05,8.23801E-06,3.12309E-07,6.35980E-06,2.02478E-07,1.33162E-05,1.27116E-05,1.98107E-03,1.31158E-05
503 nm,1.39829E-05,1.37568E-05,2.09715E-03,1.39829E-05,1.37568E-05,2.09715E-03,1.39829E-05,8.25152E-06,4.57102E-07,6.64119E-06,1.21905E-07,1.37167E-05,1.37568E-05,2.09715E-03,1.39829E-05
504 nm,1.51235E-05,1.39347E-05,2.18947E-03,1.51235E-05,1.39347E-05,2.18947E-03,1.51235E-05,8.69496E-06,2.50362E-07,7.13889E-06,2.53489E-08,1.39343E-05,1.39347E-05,2.18947E-03,1.51235E-05
505 nm,1.55327E-05,1.48973E-05,2.33193E-03,1.55327E-05,1.48973E-05,2.33193E-03,1.55327E-05,9.15830E-06,6.54834E-08,7.26943E-06,2.29434E-07,1.51242E-05,1.48973E-05,2.33193E-03,1.55327E-05
506 nm,1.60224E-05,1.56749E-05,2.40538E-03,1.60224E-05,1.56749E-05,2.40538E-03,1.60224E-05,9.48135E-06,0.00000E+00,7.93666E-06,2.77782E-07,1.60285E-05,1.56749E-05,2.40538E-03,1.60224E-05
507 nm,1.68790E-05,1.63123E-05,2.53006E-03,1.68790E-05,1.63123E-05,2.53006E-03,1.68790E-05,9.96619E-06,3.02560E-07,8.23124E-06,4.86173E-08,1.66705E-05,1.63123E-05,2.53006E-03,1.68790E-05
508 nm,1.74582E-05,1.71220E-05,2.58830E-03,1.74582E-05,1.71220E-05,2.58830E-03,1.74582E-05,1.03518E-05,1.98750E-07,8.59542E-06,2.68347E-07,1.71757E-05,1.71220E-05,2.58830E-03,1.74582E-05
509 nm,1.78602E-05,1.79424E-05,2.74630E-03,1.78602E-05,1.79424E-05,2.74630E-03,1.78602E-05,1.08757E-05,9.47344E-08,9.01213E-06,0.00000E+00,1.79236E-05,1.79424E-05,2.74630E-03,1.78602E-05
510 nm,1.92869E-05,1.84740E-05,2.85146E-03,1.92869E-05,1.84740E-05,2.85146E-03,1.92869E-05,1.12535E-05,3.02221E-07,9.48545E-06,0.00000E+00,1.83068E-05,1.84740E-05,2.85146E-03,1.92869E-05
511 nm,1.92845E-05,1.90223E-05,2.88158E-03,1.92845E-05,1.90223E-05,2.88158E-03,1.92845E-05,1.18500E-05,1.04173E-07,9.75302E-06,2.87221E-07,1.95310E-05,1.90223E-05,2.88158E-03,1.92845E-05
512 nm,2.06377E-05,2.01003E-05,3.00699E-03,2.06377E-05,2.01003E-05,3.00699E-03,2.06377E-05,1.20051E-05,3.25881E-07,1.03354E-05,2.26554E-07,1.99231E-05,2.01003E-05,3.00699E-03,2.06377E-05
513 nm,2.04982E-05,2.04758E-05,3.05198E-03,2.04982E-05,2.04758E-05,3.05198E-03,2.04982E-05,1.27054E-05,1.44524E-07,1.05691E-05,2.43321E-08,2.08248E-05,2.04758E-05,3.05198E-03,2.04982E-05
514 nm,2.18859E-05,2.10096E-05,3.17209E-03,2.18859E-05,2.10096E-05,3.17209E-03,2.18859E-05,1.28522E-05,1.78633E-07,1.05751E-05,6.42976E-09,2.11002E-05,2.10096E-05,3.17209E-03,2.18859E-05
515 nm,2.22898E-05,2.19085E-05,3.25384E-03,2.22898E-05,2.19085E-05,3.25384E-03,2.22898E-05,1.33737E-05,1.39567E-07,1.08279E-05,2.46030E-07,2.22270E-05,2.19085E-05,3.25384E-03,2.22898E-05
516 nm,2.29095E-05,2.23067E-05,3.33022E-03,2.29095E-05,2.23067E-05,3.33022E-03,2.29095E-05,1.37548E-05,1.04652E-07,1.16422E-05,8.34634E-08,2.22134E-05,2.23067E-05,3.33022E-03,2.29095E-05
517 nm,2.31753E-05,2.27007E-05,3.39977E-03,2.31753E-05,2.27007E-05,3.39977E-03,2.31753E-05,1.41704E-05,2.84693E-07,1.14305E-05,3.01156E-07,2.26725E-05,2.27007E-05,3.39977E-03,2.31753E-05
518 nm,2.36628E-05,2.29000E-05,3.46440E-03,2.36628E-05,2.29000E-05,3.46440E-03,2.36628E-05,1.43622E-05,2.37792E-07,1.15993E-05,1.75301E-07,2.37766E-05,2.29000E-05,3.46440E-03,2.36628E-05
519 nm,2.41816E-05,2.38338E-05,3.48015E-03,2.41816E-05,2.38338E-05,3.48015E-03,2.41816E-05,1.48031E-05,1.08247E-07,1.21110E-05,0.00000E+00,2.38706E-05,2.38338E-05,3.48015E-03,2.41816E-05
520 nm,2.50679E-05,2.43127E-05,3.56045E-03,2.50679E-05,2.43127E-05,3.56045E-03,2.50679E-05,1.49511E-05,3.14794E-07,1.22699E-05,4.27931E-07,2.43651E-05,2.43127E-05,3.56045E-03,2.50679E-05
521 nm,2.54646E-05,2.47732E-05,3.63694E-03,2.54646E-05,2.47732E-05,3.63694E-03,2.54646E-05,1.49533E-05,4.36035E-08,1.24459E-05,2.46918E-07,2.53322E-05,2.47732E-05,3.63694E-03,2.54646E-05
522 nm,2.57554E-05,2.51842E-05,3.71299E-03,2.57554E-05,2.51842E-05,3.71299E-03,2.57554E-05,1.51946E-05,1.23211E-07,1.27244E-05,0.00000E+00,2.53524E-05,2.51842E-05,3.71299E-03,2.57554E-05
523 nm,2.59846E-05,2.52532E-05,3.74915E-03,2.59846E-05,2.52532E-05,3.74915E-03,2.59846E-05,1.54672E-05,1.16477E-07,1.29995E-05,7.04949E-08,2.60255E-05,2.52532E-05,3.74915E-03,2.59846E-05
524 nm,2.63483E-05,2.53570E-05,3.74670E-03,2.63483E-05,2.53570E-05,3.74670E-03,2.63483E-05,1.57813E-05,8.03032E-08,1.30542E-05,2.92155E-08,2.58762E-05,2.53570E-05,3.74670E-03,2.63483E-05
525 nm,2.66188E-05,2.61289E-05,3.81622E-03,2.66188E-05,2.61289E-05,3.81622E-03,2.66188E-05,1.58753E-05,0.00000E+00,1.29765E-05,0.00000E+00,2.62148E-05,2.61289E-05,3.81622E-03,2.66188E-05
526 nm,2.72121E-05,2.67220E-05,3.87491E-03,2.72121E-05,2.67220E-05,3.87491E-03,2.72121E-05,1.61671E-05,2.12233E-07,1.31120E-05,9.20760E-08,2.66825E-05,2.67220E-05,3.87491E-03,2.72121E-05
527 nm,2.71965E-05,2.66808E-05,3.87066E-03,2.71965E-05,2.66808E-05,3.87066E-03,2.71965E-05,1.63754E-05,0.00000E+00,1.36270E-05,2.84219E-08,2.69825E-05,2.66808E-05,3.87066E-03,2.71965E-05
528 nm,2.77333E-05,2.65719E-05,3.91868E-03,2.77333E-05,2.65719E-05,3.91868E-03,2.77333E-05,1.64401E-05,8.29978E-08,1.35567E-05,0.00000E+00,2.69349E-05,2.65719E-05,3.91868E-03,2.77333E-05
529 nm,2.82823E-05,2.70911E-05,4.00800E-03,2.82823E-05,2.70911E-05,4.00800E-03,2.82823E-05,1.66461E-05,6.01511E-08,1.37260E-05,2.45583E-07,2.71000E-05,2.70911E-05,4.00800E-03,2.82823E-05
530 nm,2.80234E-05,2.73705E-05,3.91507E-03,2.80234E-05,2.73705E-05,3.91507E-03,2.80234E-05,1.66373E-05,2.69336E-07,1.40137E-05,2.11364E-07,2.74196E-05,2.73705E-05,3.91507E-03,2.80234E-05
531 nm,2.84232E-05,2.71693E-05,3.97185E-03,2.84232E-05,2.71693E-05,3.97185E-03,2.84232E-05,1.72232E-05,4.14145E-08,1.39357E-05,2.52372E-07,2.75372E-05,2.71693E-05,3.97185E-03,2.84232E-05
532 nm,2.86640E-05,2.75029E-05,4.03147E-03,2.86640E-05,2.75029E-05,4.03147E-03,2.86640E-05,1.64858E-05,2.10171E-07,1.38655E-05,1.23710E-07,2.82770E-05,2.75029E-05,4.03147E-03,2.86640E-05
533 nm,2.88069E-05,2.74829E-05,4.03348E-03,2.88069E-05,2.74829E-05,4.03348E-03,2.88069E-05,1.69158E-05,1.38981E-07,1.39511E-05,0.00000E+00,2.83719E-05,2.74829E-05,4.03348E-03,2.88069E-05
534 nm,2.81514E-05,2.77125E-05,4.01287E-03,2.81514E-05,2.77125E-05,4.01287E-03,2.81514E-05,1.67586E-05,2.63695E-07,1.39472E-05,1.17168E-07,2.82575E-05,2.77125E-05,4.01287E-03,2.81514E-05
535 nm,2.87602E-05,2.80280E-05,4.04275E-03,2.87602E-05,2.80280E-05,4.04275E-03,2.87602E-05,1.67850E-05,2.75588E-07,1.42127E-05,3.49828E-07,2.87575E-05,2.80280E-05,4.04275E-03,2.87602E-05
536 nm,2.89404E-05,2.80213E-05,4.05204E-03,2.89404E-05,2.80213E-05,4.05204E-03,2.89404E-05,1.70409E-05,4.18293E-07,1.41741E-05,2.76758E-07,2.82780E-05,2.80213E-05,4.05204E-03,2.89404E-05
537 nm,2.91821E-05,2.81278E-05,4.04634E-03,2.91821E-05,2.81278E-05,4.04634E-03,2.91821E-05,1.72205E-05,5.64353E-07,1.42382E-05,1.11269E-07,2.86880E-05,2.81278E-05,4.04634E-03,2.91821E-05
538 nm,2.89786E-05,2.85097E-05,4.06763E-03,2.89786E-05,2.85097E-05,4.06763E-03,2.89786E-05,1.72637E-05,1.09711E-06,1.40418E-05,2.99130E-08,2.81980E-05,2.85097E-05,4.06763E-03,2.89786E-05
539 nm,2.91236E-05,2.81174E-05,4.15056E-03,2.91236E-05,2.81174E-05,4.15056E-03,2.91236E-05,1.72597E-05,1.73825E-06,1.41969E-05,0.00000E+00,2.90474E-05,2.81174E-05,4.15056E-03,2.91236E-05
540 nm,2.89411E-05,2.85001E-05,4.04132E-03,2.89411E-05,2.85001E-05,4.04132E-03,2.89411E-05,1.70905E-05,2.99379E-06,1.41351E-05,9.05668E-10,2.81153E-05,2.85001E-05,4.04132E-03,2.89411E-05
541 nm,2.91528E-05,2.81202E-05,4.06670E-03,2.91528E-05,2.81202E-05,4.06670E-03,2.91528E-05,1.70956E-05,4.20006E-06,1.39788E-05,0.00000E+00,2.88841E-05,2.81202E-05,4.06670E-03,2.91528E-05
542 nm,2.90705E-05,2.81940E-05,4.12141E-03,2.90705E-05,2.81940E-05,4.12141E-03,2.90705E-05,1.72386E-05,5.43186E-06,1.42345E-05,9.16026E-08,2.84058E-05,2.81940E-05,4.12141E-03,2.90705E-05
543 nm,2.90173E-05,2.86113E-05,4.08960E-03,2.90173E-05,2.86113E-05,4.08960E-03,2.90173E-05,1.73385E-05,6.44607E-06,1.42263E-05,1.50876E-08,2.86898E-05,2.86113E-05,4.08960E-03,2.90173E-05
544 nm,2.89462E-05,2.82388E-05,4.07481E-03,2.89462E-05,2.82388E-05,4.07481E-03,2.89462E-05,1.71746E-05,6.75389E-06,1.42640E-05,8.30469E-08,2.85683E-05,2.82388E-05,4.07481E-03,2.89462E-05
545 nm,2.88757E-05,2.87364E-05,4.09313E-03,2.88757E-05,2.87364E-05,4.09313E-03,2.88757E-05,1.69224E-05,6.91565E-06,1.41946E-05,8.52509E-08,2.88089E-05,2.87364E-05,4.09313E-03,2.88757E-05
546 nm,2.90038E-05,2.86423E-05,4.09260E-03,2.90038E-05,2.86423E-05,4.09260E-03,2.90038E-05,1.70900E-05,5.92288E-06,1.42033E-05,2.83288E-07,2.85199E-05,2.86423E-05,4.09260E-03,2.90038E-05
547 nm,2.90781E-05,2.83764E-05,4.11106E-03,2.90781E-05,2.83764E-05,4.11106E-03,2.90781E-05,1.70693E-05,4.93984E-06,1.43750E-05,2.22845E-08,2.87361E-05,2.83764E-05,4.11106E-03,2.90781E-05
548 nm,2.91502E-05,2.83545E-05,4.13980E-03,2.91502E-05,2.83545E-05,4.13980E-03,2.91502E-05,1.73094E-05,3.83606E-06,1.43690E-05,1.15242E-07,2.88513E-05,2.83545E-05,4.13980E-03,2.91502E-05
549 nm,2.89363E-05,2.82775E-05,4.11376E-03,2.89363E-05,2.82775E-05,4.11376E-03,2.89363E-05,1.73923E-05,3.25009E-06,1.43416E-05,1.08702E-07,2.89240E-05,2.82775E-05,4.11376E-03,2.89363E-05
550 nm,2.89501E-05,2.85686E-05,4.04787E-03,2.89501E-05,2.85686E-05,4.04787E-03,2.89501E-05,1.71245E-05,2.56349E-06,1.44443E-05,4.01214E-08,2.87695E-05,2.85686E-05,4.04787E-03,2.89501E-05
551 nm,2.90103E-05,2.83462E-05,4.10871E-03,2.90103E-05,2.83462E-05,4.10871E-03,2.90103E-05,1.72895E-05,1.99512E-06,1.42879E-05,0.00000E+00,2.85560E-05,2.83462E-05,4.10871E-03,2.90103E-05
552 nm,2.91687E-05,2.82548E-05,4.08598E-03,2.91687E-05,2.82548E-05,4.08598E-03,2.91687E-05,1.70068E-05,1.47433E-06,1.40257E-05,2.24203E-07,2.84789E-05,2.82548E-05,4.08598E-03,2.91687E-05
553 nm,2.86414E-05,2.80751E-05,4.03707E-03,2.86414E-05,2.80751E-05,4.03707E-03,2.86414E-05,1.69964E-05,1.29402E-06,1.40477E-05,4.83604E-08,2.86338E-05,2.80751E-05,4.03707E-03,2.86414E-05
554 nm,2.87674E-05,2.82489E-05,4.08624E-03,2.87674E-05,2.82489E-05,4.08624E-03,2.87674E-05,1.72246E-05,9.40627E-07,1.42411E-05,1.62172E-07,2.85476E-05,2.82489E-05,4.08624E-03,2.87674E-05
555 nm,2.87079E-05,2.78341E-05,4.15200E-03,2.87079E-05,2.78341E-05,4.15200E-03,2.87079E-05,1.73683E-05,6.72063E-07,1.42281E-05,0.00000E+00,2.85136E-05,2.78341E-05,4.15200E-03,2.87079E-05
556 nm,2.86341E-05,2.78986E-05,4.09668E-03,2.86341E-05,2.78986E-05,4.09668E-03,2.86341E-05,1.72501E-05,5.81297E-07,1.41473E-05,1.09808E-07,2.83128E-05,2.78986E-05,4.09668E-03,2.86341E-05
557 nm,2.85434E-05,2.76024E-05,4.06196E-03,2.85434E-05,2.76024E-05,4.06196E-03,2.85434E-05,1.68512E-05,3.42107E-07,1.42600E-05,3.64095E-08,2.82895E-05,2.76024E-05,4.06196E-03,2.85434E-05
558 nm,2.86693E-05,2.81613E-05,4.06473E-03,2.86693E-05,2.81613E-05,4.06473E-03,2.86693E-05,1.68210E-05,3.88652E-07,1.43889E-05,8.70559E-10,2.90674E-05,2.81613E-05,4.06473E-03,2.86693E-05
559 nm,2.86427E-05,2.79867E-05,4.08836E-03,2.86427E-05,2.79867E-05,4.08836E-03,2.86427E-05,1.71765E-05,3.14541E-07,1.40290E-05,8.97384E-08,2.80957E-05,2.79867E-05,4.08836E-03,2.86427E-05
560 nm,2.86499E-05,2.77120E-05,4.08282E-03,2.86499E-05,2.77120E-05,4.08282E-03,2.86499E-05,1.71965E-05,1.33295E-07,1.39611E-05,6.48532E-08,2.84293E-05,2.77120E-05,4.08282E-03,2.86499E-05
561 nm,2.83986E-05,2.79286E-05,4.07255E-03,2.83986E-05,2.79286E-05,4.07255E-03,2.83986E-05,1.68758E-05,3.19258E-07,1.40733E-05,6.19585E-08,2.80228E-05,2.79286E-05,4.07255E-03,2.83986E-05
562 nm,2.85194E-05,2.79479E-05,4.06772E-03,2.85194E-05,2.79479E-05,4.06772E-03,2.85194E-05,1.65723E-05,7.60878E-08,1.38395E-05,0.00000E+00,2.82381E-05,2.79479E-05,4.06772E-03,2.85194E-05
563 nm,2.87197E-05,2.77719E-05,4.10702E-03,2.87197E-05,2.77719E-05,4.10702E-03,2.87197E-05,1.70771E-05,1.39620E-07,1.41918E-05,1.17405E-08,2.77249E-05,2.77719E-05,4.10702E-03,2.87197E-05
564 nm,2.81704E-05,2.74170E-05,4.05597E-03,2.81704E-05,2.74170E-05,4.05597E-03,2.81704E-05,1.69731E-05,1.72140E-07,1.38945E-05,2.05061E-07,2.75967E-05,2.74170E-05,4.05597E-03,2.81704E-05
565 nm,2.80676E-05,2.74875E-05,4.04293E-03,2.80676E-05,2.74875E-05,4.04293E-03,2.80676E-05,1.66824E-05,3.93584E-08,1.38573E-05,1.28575E-07,2.75057E-05,2.74875E-05,4.04293E-03,2.80676E-05
566 nm,2.80278E-05,2.73609E-05,4.05010E-03,2.80278E-05,2.73609E-05,4.05010E-03,2.80278E-05,1.66845E-05,6.02987E-08,1.39784E-05,8.15532E-09,2.75923E-05,2.73609E-05,4.05010E-03,2.80278E-05
567 nm,2.77638E-05,2.70765E-05,4.06561E-03,2.77638E-05,2.70765E-05,4.06561E-03,2.77638E-05,1.65441E-05,2.63816E-08,1.36960E-05,9.64516E-08,2.72698E-05,2.70765E-05,4.06561E-03,2.77638E-05
568 nm,2.76910E-05,2.72067E-05,4.03931E-03,2.76910E-05,2.72067E-05,4.03931E-03,2.76910E-05,1.68415E-05,9.92204E-08,1.40940E-05,1.47805E-09,2.77583E-05,2.72067E-05,4.03931E-03,2.76910E-05
569 nm,2.79568E-05,2.71653E-05,4.05831E-03,2.79568E-05,2.71653E-05,4.05831E-03,2.79568E-05,1.65864E-05,1.39742E-07,1.38591E-05,5.81618E-08,2.71732E-05,2.71653E-05,4.05831E-03,2.79568E-05
570 nm,2.79240E-05,2.73233E-05,4.02743E-03,2.79240E-05,2.73233E-05,4.02743E-03,2.79240E-05,1.69606E-05,1.86067E-07,1.38147E-05,6.65263E-08,2.74330E-05,2.73233E-05,4.02743E-03,2.79240E-05
571 nm,2.74544E-05,2.72626E-05,4.07137E-03,2.74544E-05,2.72626E-05,4.07137E-03,2.74544E-05,1.65831E-05,6.29958E-08,1.34704E-05,9.88708E-09,2.69397E-05,2.72626E-05,4.07137E-03,2.74544E-05
572 nm,2.76093E-05,2.68555E-05,4.05651E-03,2.76093E-05,2.68555E-05,4.05651E-03,2.76093E-05,1.65195E-05,2.10458E-07,1.36180E-05,1.18072E-07,2.69588E-05,2.68555E-05,4.05651E-03,2.76093E-05
573 nm,2.75227E-05,2.67984E-05,3.99527E-03,2.75227E-05,2.67984E-05,3.99527E-03,2.75227E-05,1.64901E-05,1.95609E-08,1.36108E-05,1.62870E-07,2.69746E-05,2.67984E-05,3.99527E-03,2.75227E-05
574 nm,2.71428E-05,2.64755E-05,4.07918E-03,2.71428E-05,2.64755E-05,4.07918E-03,2.71428E-05,1.66467E-05,2.21636E-07,1.37760E-05,3.72085E-08,2.67099E-05,2.64755E-05,4.07918E-03,2.71428E-05
575 nm,2.71150E-05,2.64895E-05,4.03687E-03,2.71150E-05,2.64895E-05,4.03687E-03,2.71150E-05,1.59550E-05,3.46518E-07,1.34955E-05,5.18161E-08,2.66572E-05,2.64895E-05,4.03687E-03,2.71150E-05
576 nm,2.70760E-05,2.67118E-05,3.99368E-03,2.70760E-05,2.67118E-05,3.99368E-03,2.70760E-05,1.61289E-05,4.16487E-07,1.36088E-05,0.00000E+00,2.65485E-05,2.67118E-05,3.99368E-03,2.70760E-05
577 nm,2.69421E-05,2.59213E-05,4.02020E-03,2.69421E-05,2.59213E-05,4.02020E-03,2.69421E-05,1.59085E-05,6.60234E-07,1.33542E-05,2.37370E-07,2.61611E-05,2.59213E-05,4.02020E-03,2.69421E-05
578 nm,2.71164E-05,2.57950E-05,4.00014E-03,2.71164E-05,2.57950E-05,4.00014E-03,2.71164E-05,1.61239E-05,7.40697E-07,1.32058E-05,2.64813E-08,2.62736E-05,2.57950E-05,4.00014E-03,2.71164E-05
579 nm,2.70022E-05,2.61356E-05,3.98313E-03,2.70022E-05,2.61356E-05,3.98313E-03,2.70022E-05,1.59250E-05,9.41095E-07,1.31369E-05,0.00000E+00,2.60867E-05,2.61356E-05,3.98313E-03,2.70022E-05
580 nm,2.65482E-05,2.58277E-05,4.01222E-03,2.65482E-05,2.58277E-05,4.01222E-03,2.65482E-05,1.57704E-05,1.31774E-06,1.30955E-05,1.70284E-07,2.53535E-05,2.58277E-05,4.01222E-03,2.65482E-05
581 nm,2.62507E-05,2.53285E-05,3.95291E-03,2.62507E-05,2.53285E-05,3.95291E-03,2.62507E-05,1.60851E-05,1.22362E-06,1.29922E-05,9.85889E-08,2.58688E-05,2.53285E-05,3.95291E-03,2.62507E-05
582 nm,2.59460E-05,2.51409E-05,3.92669E-03,2.59460E-05,2.51409E-05,3.92669E-03,2.59460E-05,1.58191E-05,1.30928E-06,1.27651E-05,1.75767E-07,2.50827E-05,2.51409E-05,3.92669E-03,2.59460E-05
583 nm,2.62446E-05,2.47817E-05,3.91581E-03,2.62446E-05,2.47817E-05,3.91581E-03,2.62446E-05,1.56009E-05,1.48412E-06,1.29394E-05,1.42972E-07,2.54452E-05,2.47817E-05,3.91581E-03,2.62446E-05
584 nm,2.62184E-05,2.50749E-05,3.91726E-03,2.62184E-05,2.50749E-05,3.91726E-03,2.62184E-05,1.53666E-05,1.48330E-06,1.25839E-05,6.15835E-08,2.52046E-05,2.50749E-05,3.91726E-03,2.62184E-05
585 nm,2.61957E-05,2.44844E-05,3.89983E-03,2.61957E-05,2.44844E-05,3.89983E-03,2.61957E-05,1.51096E-05,1.64479E-06,1.27100E-05,8.58596E-08,2.45876E-05,2.44844E-05,3.89983E-03,2.61957E-05
586 nm,2.58398E-05,2.45458E-05,3.84169E-03,2.58398E-05,2.45458E-05,3.84169E-03,2.58398E-05,1.52228E-05,1.87809E-06,1.28260E-05,9.18795E-09,2.45597E-05,2.45458E-05,3.84169E-03,2.58398E-05
587 nm,2.55160E-05,2.40030E-05,3.80925E-03,2.55160E-05,2.40030E-05,3.80925E-03,2.55160E-05,1.51349E-05,1.72160E-06,1.22986E-05,1.95944E-07,2.45408E-05,2.40030E-05,3.80925E-03,2.55160E-05
588 nm,2.55749E-05,2.36127E-05,3.74486E-03,2.55749E-05,2.36127E-05,3.74486E-03,2.55749E-05,1.51149E-05,1.62370E-06,1.21869E-05,6.86679E-08,2.40412E-05,2.36127E-05,3.74486E-03,2.55749E-05
589 nm,2.48261E-05,2.33589E-05,3.75354E-03,2.48261E-05,2.33589E-05,3.75354E-03,2.48261E-05,1.48738E-05,1.44529E-06,1.19724E-05,0.00000E+00,2.38894E-05,2.33589E-05,3.75354E-03,2.48261E-05
590 nm,2.46168E-05,2.32638E-05,3.73854E-03,2.46168E-05,2.32638E-05,3.73854E-03,2.46168E-05,1.45807E-05,1.41411E-06,1.20014E-05,3.69078E-07,2.38223E-05,2.32638E-05,3.73854E-03,2.46168E-05
591 nm,2.50014E-05,2.29850E-05,3.67737E-03,2.50014E-05,2.29850E-05,3.67737E-03,2.50014E-05,1.46644E-05,1.41491E-06,1.22135E-05,1.05450E-07,2.34871E-05,2.29850E-05,3.67737E-03,2.50014E-05
592 nm,2.50853E-05,2.31908E-05,3.62514E-03,2.50853E-05,2.31908E-05,3.62514E-03,2.50853E-05,1.43264E-05,1.21300E-06,1.16958E-05,0.00000E+00,2.32985E-05,2.31908E-05,3.62514E-03,2.50853E-05
