,,,,,,,,,,,,
551 nm,3.10403E-05,4.47759E-07,4.55107E-05,2.21789E-05,8.59165E-07,7.61602E-07,3.10403E-05,4.47759E-07,4.55107E-05,2.21789E-05,8.59165E-07,7.61602E-07
552 nm,3.09687E-05,7.33034E-07,4.48280E-05,2.13074E-05,1.61936E-07,4.04423E-07,3.09687E-05,7.33034E-07,4.48280E-05,2.13074E-05,1.61936E-07,4.04423E-07
553 nm,3.07949E-05,1.23629E-07,4.49269E-05,2.15549E-05,5.41647E-07,2.89264E-07,3.07949E-05,1.23629E-07,4.49269E-05,2.15549E-05,5.41647E-07,2.89264E-07
554 nm,3.13053E-05,2.53871E-07,4.39142E-05,2.20658E-05,4.55719E-07,4.00336E-07,3.13053E-05,2.53871E-07,4.39142E-05,2.20658E-05,4.55719E-07,4.00336E-07
555 nm,3.05981E-05,2.54415E-07,4.47997E-05,2.10825E-05,9.35087E-08,1.45041E-07,3.05981E-05,2.54415E-07,4.47997E-05,2.10825E-05,9.35087E-08,1.45041E-07
556 nm,3.06305E-05,1.03528E-07,4.44882E-05,2.16045E-05,4.04751E-07,6.62109E-08,3.06305E-05,1.03528E-07,4.44882E-05,2.16045E-05,4.04751E-07,6.62109E-08
557 nm,2.99956E-05,9.00571E-08,4.41664E-05,2.09413E-05,3.23758E-07,0.00000E+00,2.99956E-05,9.00571E-08,4.41664E-05,2.09413E-05,3.23758E-07,0.00000E+00
558 nm,3.05845E-05,0.00000E+00,4.43306E-05,2.07882E-05,3.31960E-07,2.64186E-07,3.05845E-05,0.00000E+00,4.43306E-05,2.07882E-05,3.31960E-07,2.64186E-07
559 nm,3.02734E-05,2.32821E-08,4.42763E-05,2.11280E-05,0.00000E+00,4.15038E-07,3.02734E-05,2.32821E-08,4.42763E-05,2.11280E-05,0.00000E+00,4.15038E-07
560 nm,2.97023E-05,4.02067E-07,4.44802E-05,2.12092E-05,3.47743E-07,2.26269E-07,2.97023E-05,4.02067E-07,4.44802E-05,2.12092E-05,3.47743E-07,2.26269E-07
561 nm,3.00875E-05,1.62763E-07,4.29579E-05,2.10564E-05,2.46319E-07,1.25993E-07,3.00875E-05,1.62763E-07,4.29579E-05,2.10564E-05,2.46319E-07,1.25993E-07
562 nm,3.00198E-05,5.08994E-08,4.44311E-05,2.09277E-05,1.74248E-07,1.96619E-08,3.00198E-05,5.08994E-08,4.44311E-05,2.09277E-05,1.74248E-07,1.96619E-08
563 nm,2.95156E-05,0.00000E+00,4.26752E-05,2.12147E-05,7.39546E-08,4.63016E-09,2.95156E-05,0.00000E+00,4.26752E-05,2.12147E-05,7.39546E-08,4.63016E-09
564 nm,2.99102E-05,1.03816E-08,4.31862E-05,2.10538E-05,8.07585E-08,2.16511E-08,2.99102E-05,1.03816E-08,4.31862E-05,2.10538E-05,8.07585E-08,2.16511E-08
565 nm,2.93624E-05,0.00000E+00,4.37266E-05,2.05825E-05,1.99957E-07,2.96186E-07,2.93624E-05,0.00000E+00,4.37266E-05,2.05825E-05,1.99957E-07,2.96186E-07
566 nm,2.94314E-05,2.52654E-07,4.29274E-05,2.06444E-05,4.83368E-07,1.08719E-07,2.94314E-05,2.52654E-07,4.29274E-05,2.06444E-05,4.83368E-07,1.08719E-07
567 nm,2.96424E-05,0.00000E+00,4.27051E-05,2.04369E-05,8.85605E-08,0.00000E+00,2.96424E-05,0.00000E+00,4.27051E-05,2.04369E-05,8.85605E-08,0.00000E+00
568 nm,2.92422E-05,3.19807E-07,4.18063E-05,2.04075E-05,2.58383E-08,1.86329E-08,2.92422E-05,3.19807E-07,4.18063E-05,2.04075E-05,2.58383E-08,1.86329E-08
569 nm,2.88262E-05,0.00000E+00,4.23924E-05,2.05828E-05,5.50037E-08,4.57917E-08,2.88262E-05,0.00000E+00,4.23924E-05,2.05828E-05,5.50037E-08,4.57917E-08
570 nm,2.90405E-05,7.82901E-09,4.25891E-05,2.04495E-05,7.31301E-08,1.07982E-07,2.90405E-05,7.82901E-09,4.25891E-05,2.04495E-05,7.31301E-08,1.07982E-07
571 nm,2.87513E-05,3.40705E-07,4.14820E-05,2.05663E-05,0.00000E+00,0.00000E+00,2.87513E-05,3.40705E-07,4.14820E-05,2.05663E-05,0.00000E+00,0.00000E+00
572 nm,2.89506E-05,3.77175E-07,4.14360E-05,2.02264E-05,2.46789E-07,2.23409E-07,2.89506E-05,3.77175E-07,4.14360E-05,2.02264E-05,2.46789E-07,2.23409E-07
573 nm,2.91226E-05,9.96398E-08,4.27149E-05,2.05974E-05,3.49426E-08,9.72623E-08,2.91226E-05,9.96398E-08,4.27149E-05,2.05974E-05,3.49426E-08,9.72623E-08
574 nm,2.85639E-05,2.44780E-07,4.12460E-05,1.97128E-05,3.55657E-07,2.39892E-07,2.85639E-05,2.44780E-07,4.12460E-05,1.97128E-05,3.55657E-07,2.39892E-07
575 nm,2.84924E-05,3.97592E-07,4.16295E-05,1.99039E-05,2.12603E-08,2.34141E-07,2.84924E-05,3.97592E-07,4.16295E-05,1.99039E-05,2.12603E-08,2.34141E-07
576 nm,2.90004E-05,4.05662E-07,4.09421E-05,2.03814E-05,3.36573E-07,4.68040E-07,2.90004E-05,4.05662E-07,4.09421E-05,2.03814E-05,3.36573E-07,4.68040E-07
577 nm,2.83944E-05,6.72064E-07,4.08338E-05,1.94841E-05,1.97751E-07,3.26466E-07,2.83944E-05,6.72064E-07,4.08338E-05,1.94841E-05,1.97751E-07,3.26466E-07
578 nm,2.84402E-05,2.98532E-07,4.12745E-05,2.03162E-05,3.46743E-08,5.34263E-07,2.84402E-05,2.98532E-07,4.12745E-05,2.03162E-05,3.46743E-08,5.34263E-07
579 nm,2.78843E-05,3.46377E-07,4.12455E-05,1.96495E-05,4.60002E-09,6.39789E-07,2.78843E-05,3.46377E-07,4.12455E-05,1.96495E-05,4.60002E-09,6.39789E-07
580 nm,2.75447E-05,2.61975E-07,4.03155E-05,1.97535E-05,4.42717E-07,5.46499E-07,2.75447E-05,2.61975E-07,4.03155E-05,1.97535E-05,4.42717E-07,5.46499E-07
581 nm,2.78076E-05,4.03390E-08,4.02321E-05,1.93504E-05,4.40510E-07,2.63109E-08,2.78076E-05,4.03390E-08,4.02321E-05,1.93504E-05,4.40510E-07,2.63109E-08
582 nm,2.74385E-05,3.28069E-07,4.02130E-05,1.89925E-05,1.32492E-07,5.33231E-07,2.74385E-05,3.28069E-07,4.02130E-05,1.89925E-05,1.32492E-07,5.33231E-07
583 nm,2.75451E-05,5.78912E-07,4.02614E-05,1.93812E-05,4.75842E-07,4.04224E-07,2.75451E-05,5.78912E-07,4.02614E-05,1.93812E-05,4.75842E-07,4.04224E-07
584 nm,2.74627E-05,3.91559E-07,3.96630E-05,1.90268E-05,5.39872E-07,3.55387E-07,2.74627E-05,3.91559E-07,3.96630E-05,1.90268E-05,5.39872E-07,3.55387E-07
585 nm,2.72191E-05,7.63220E-07,3.96683E-05,1.90063E-05,5.32847E-07,5.44060E-07,2.72191E-05,7.63220E-07,3.96683E-05,1.90063E-05,5.32847E-07,5.44060E-07
586 nm,2.67115E-05,4.86340E-07,3.84910E-05,1.89504E-05,4.04305E-07,6.02543E-07,2.67115E-05,4.86340E-07,3.84910E-05,1.89504E-05,4.04305E-07,6.02543E-07
587 nm,2.69165E-05,8.54398E-07,3.84010E-05,1.86929E-05,4.52531E-07,6.99606E-07,2.69165E-05,8.54398E-07,3.84010E-05,1.86929E-05,4.52531E-07,6.99606E-07
588 nm,2.61764E-05,3.99857E-07,3.79592E-05,1.83330E-05,3.65298E-07,4.86084E-07,2.61764E-05,3.99857E-07,3.79592E-05,1.83330E-05,3.65298E-07,4.86084E-07
589 nm,2.56669E-05,2.21339E-07,3.73861E-05,1.81856E-05,3.52653E-07,4.72567E-07,2.56669E-05,2.21339E-07,3.73861E-05,1.81856E-05,3.52653E-07,4.72567E-07
590 nm,2.53696E-05,5.83309E-07,3.74967E-05,1.79455E-05,6.51735E-07,3.74549E-07,2.53696E-05,5.83309E-07,3.74967E-05,1.79455E-05,6.51735E-07,3.74549E-07
591 nm,2.54915E-05,7.53638E-07,3.74004E-05,1.73489E-05,3.25289E-07,2.88956E-07,2.54915E-05,7.53638E-07,3.74004E-05,1.73489E-05,3.25289E-07,2.88956E-07
592 nm,2.54432E-05,2.40063E-07,3.59240E-05,1.81140E-05,5.58338E-07,1.51441E-07,2.54432E-05,2.40063E-07,3.59240E-05,1.81140E-05,5.58338E-07,1.51441E-07
593 nm,2.47467E-05,2.52332E-07,3.58555E-05,1.73595E-05,0.00000E+00,4.47199E-07,2.47467E-05,2.52332E-07,3.58555E-05,1.73595E-05,0.00000E+00,4.47199E-07
594 nm,2.44107E-05,1.53253E-07,3.55268E-05,1.75696E-05,2.75397E-07,5.20838E-07,2.44107E-05,1.53253E-07,3.55268E-05,1.75696E-05,2.75397E-07,5.20838E-07
595 nm,2.43341E-05,3.78833E-07,3.41878E-05,1.71263E-05,1.55682E-07,2.25731E-07,2.43341E-05,3.78833E-07,3.41878E-05,1.71263E-05,1.55682E-07,2.25731E-07
596 nm,2.36894E-05,3.82224E-07,3.48584E-05,1.69334E-05,1.45987E-07,2.09042E-07,2.36894E-05,3.82224E-07,3.48584E-05,1.69334E-05,1.45987E-07,2.09042E-07
597 nm,2.30077E-05,0.00000E+00,3.41053E-05,1.65030E-05,9.15590E-08,1.82540E-07,2.30077E-05,0.00000E+00,3.41053E-05,1.65030E-05,9.15590E-08,1.82540E-07
598 nm,2.25720E-05,1.28746E-07,3.34602E-05,1.60573E-05,1.66815E-07,5.46434E-08,2.25720E-05,1.28746E-07,3.34602E-05,1.60573E-05,1.66815E-07,5.46434E-08
599 nm,2.34758E-05,1.44457E-07,3.31272E-05,1.62263E-05,3.71893E-07,0.00000E+00,2.34758E-05,1.44457E-07,3.31272E-05,1.62263E-05,3.71893E-07,0.00000E+00
600 nm,2.22975E-05,4.73955E-08,3.35531E-05,1.60248E-05,8.77720E-08,2.95223E-07,2.22975E-05,4.73955E-08,3.35531E-05,1.60248E-05,8.77720E-08,2.95223E-07
601 nm,2.28759E-05,4.49990E-07,3.20795E-05,1.58257E-05,0.00000E+00,1.85236E-07,2.28759E-05,4.49990E-07,3.20795E-05,1.58257E-05,0.00000E+00,1.85236E-07
602 nm,2.20106E-05,3.76498E-07,3.25624E-05,1.54969E-05,9.84882E-08,1.35651E-08,2.20106E-05,3.76498E-07,3.25624E-05,1.54969E-05,9.84882E-08,1.35651E-08
603 nm,2.20282E-05,3.16294E-07,3.16836E-05,1.51280E-05,2.88911E-08,0.00000E+00,2.20282E-05,3.16294E-07,3.16836E-05,1.51280E-05,2.88911E-08,0.00000E+00
604 nm,2.16435E-05,0.00000E+00,3.08898E-05,1.53262E-05,5.19286E-08,1.31350E-07,2.16435E-05,0.00000E+00,3.08898E-05,1.53262E-05,5.19286E-08,1.31350E-07
605 nm,2.11927E-05,5.77086E-08,3.10396E-05,1.47034E-05,2.61687E-07,3.48104E-07,2.11927E-05,5.77086E-08,3.10396E-05,1.47034E-05,2.61687E-07,3.48104E-07
606 nm,2.14384E-05,2.98937E-07,3.00213E-05,1.48464E-05,1.47520E-07,4.62661E-07,2.14384E-05,2.98937E-07,3.00213E-05,1.48464E-05,1.47520E-07,4.62661E-07
607 nm,2.03818E-05,1.05998E-07,3.01868E-05,1.45420E-05,2.51858E-07,4.67999E-07,2.03818E-05,1.05998E-07,3.01868E-05,1.45420E-05,2.51858E-07,4.67999E-07
608 nm,2.02872E-05,5.51702E-07,2.97049E-05,1.50869E-05,2.09563E-07,8.33719E-07,2.02872E-05,5.51702E-07,2.97049E-05,1.50869E-05,2.09563E-07,8.33719E-07
609 nm,2.11520E-05,1.55511E-06,2.96288E-05,1.46771E-05,1.65489E-06,1.27477E-06,2.11520E-05,1.55511E-06,2.96288E-05,1.46771E-05,1.65489E-06,1.27477E-06
610 nm,2.05636E-05,1.72914E-06,3.02860E-05,1.52271E-05,1.82709E-06,1.93446E-06,2.05636E-05,1.72914E-06,3.02860E-05,1.52271E-05,1.82709E-06,1.93446E-06
611 nm,2.10579E-05,2.22144E-06,2.99011E-05,1.56360E-05,1.96665E-06,2.29575E-06,2.10579E-05,2.22144E-06,2.99011E-05,1.56360E-05,1.96665E-06,2.29575E-06
612 nm,2.04850E-05,1.96357E-06,2.90460E-05,1.50794E-05,1.91077E-06,2.01431E-06,2.04850E-05,1.96357E-06,2.90460E-05,1.50794E-05,1.91077E-06,2.01431E-06
613 nm,1.99095E-05,2.03401E-06,2.82237E-05,1.45103E-05,2.06450E-06,1.69329E-06,1.99095E-05,2.03401E-06,2.82237E-05,1.45103E-05,2.06450E-06,1.69329E-06
614 nm,1.98199E-05,1.08001E-06,2.76146E-05,1.38620E-05,1.73898E-06,1.32079E-06,1.98199E-05,1.08001E-06,2.76146E-05,1.38620E-05,1.73898E-06,1.32079E-06
615 nm,1.86359E-05,9.26040E-07,2.67098E-05,1.36548E-05,1.10537E-06,8.12689E-07,1.86359E-05,9.26040E-07,2.67098E-05,1.36548E-05,1.10537E-06,8.12689E-07
616 nm,1.80638E-05,8.57747E-07,2.61997E-05,1.27574E-05,6.06374E-07,6.79421E-07,1.80638E-05,8.57747E-07,2.61997E-05,1.27574E-05,6.06374E-07,6.79421E-07
617 nm,1.67273E-05,9.77147E-09,2.62033E-05,1.23171E-05,3.81847E-07,6.10228E-07,1.67273E-05,9.77147E-09,2.62033E-05,1.23171E-05,3.81847E-07,6.10228E-07
618 nm,1.69614E-05,7.60472E-07,2.42169E-05,1.24949E-05,5.05023E-07,4.97411E-07,1.69614E-05,7.60472E-07,2.42169E-05,1.24949E-05,5.05023E-07,4.97411E-07
619 nm,1.71138E-05,6.22255E-07,2.43187E-05,1.17201E-05,5.21577E-07,3.19275E-07,1.71138E-05,6.22255E-07,2.43187E-05,1.17201E-05,5.21577E-07,3.19275E-07
620 nm,1.66917E-05,6.37289E-07,2.37210E-05,1.16335E-05,1.12443E-06,3.67932E-07,1.66917E-05,6.37289E-07,2.37210E-05,1.16335E-05,1.12443E-06,3.67932E-07
621 nm,1.60843E-05,3.56692E-07,2.34880E-05,1.14517E-05,3.43236E-07,4.35238E-07,1.60843E-05,3.56692E-07,2.34880E-05,1.14517E-05,3.43236E-07,4.35238E-07
622 nm,1.57833E-05,7.75787E-07,2.26807E-05,1.13501E-05,3.91805E-07,2.31376E-07,1.57833E-05,7.75787E-07,2.26807E-05,1.13501E-05,3.91805E-07,2.31376E-07
623 nm,1.55615E-05,4.53868E-07,2.26860E-05,1.08449E-05,3.38276E-07,2.77266E-07,1.55615E-05,4.53868E-07,2.26860E-05,1.08449E-05,3.38276E-07,2.77266E-07
624 nm,1.53498E-05,6.67503E-07,2.16061E-05,1.08830E-05,3.39157E-07,2.97152E-07,1.53498E-05,6.67503E-07,2.16061E-05,1.08830E-05,3.39157E-07,2.97152E-07
625 nm,1.48211E-05,3.82447E-07,2.12726E-05,1.04273E-05,3.75975E-07,5.94597E-07,1.48211E-05,3.82447E-07,2.12726E-05,1.04273E-05,3.75975E-07,5.94597E-07
626 nm,1.41372E-05,5.56864E-07,2.11505E-05,1.04971E-05,2.42168E-07,2.45134E-07,1.41372E-05,5.56864E-07,2.11505E-05,1.04971E-05,2.42168E-07,2.45134E-07
627 nm,1.39402E-05,2.37497E-07,2.07750E-05,9.91080E-06,5.96536E-07,4.32818E-07,1.39402E-05,2.37497E-07,2.07750E-05,9.91080E-06,5.96536E-07,4.32818E-07
628 nm,1.36919E-05,1.66967E-07,1.98105E-05,9.25648E-06,4.01893E-07,3.10499E-07,1.36919E-05,1.66967E-07,1.98105E-05,9.25648E-06,4.01893E-07,3.10499E-07
629 nm,1.41222E-05,8.24259E-08,1.97338E-05,9.86762E-06,7.39978E-07,3.41210E-07,1.41222E-05,8.24259E-08,1.97338E-05,9.86762E-06,7.39978E-07,3.41210E-07
630 nm,1.31873E-05,9.28605E-08,1.96548E-05,9.51048E-06,3.92341E-07,7.37397E-07,1.31873E-05,9.28605E-08,1.96548E-05,9.51048E-06,3.92341E-07,7.37397E-07
631 nm,1.30464E-05,5.24870E-07,1.85754E-05,9.03970E-06,3.05197E-07,1.54923E-07,1.30464E-05,5.24870E-07,1.85754E-05,9.03970E-06,3.05197E-07,1.54923E-07
632 nm,1.25495E-05,3.70360E-07,1.87492E-05,8.55932E-06,2.76397E-07,3.97048E-07,1.25495E-05,3.70360E-07,1.87492E-05,8.55932E-06,2.76397E-07,3.97048E-07
633 nm,1.24837E-05,1.52882E-07,1.82513E-05,8.67987E-06,7.96994E-08,2.86038E-07,1.24837E-05,1.52882E-07,1.82513E-05,8.67987E-06,7.96994E-08,2.86038E-07
634 nm,1.20586E-05,0.00000E+00,1.70789E-05,8.36872E-06,2.28688E-07,3.56238E-07,1.20586E-05,0.00000E+00,1.70789E-05,8.36872E-06,2.28688E-07,3.56238E-07
635 nm,1.15105E-05,4.51566E-07,1.76006E-05,8.39732E-06,0.00000E+00,1.92421E-07,1.15105E-05,4.51566E-07,1.76006E-05,8.39732E-06,0.00000E+00,1.92421E-07
636 nm,1.15055E-05,0.00000E+00,1.67427E-05,7.71898E-06,6.91601E-07,1.91643E-07,1.15055E-05,0.00000E+00,1.67427E-05,7.71898E-06,6.91601E-07,1.91643E-07
637 nm,1.12865E-05,5.64696E-08,1.61603E-05,7.90685E-06,9.76470E-08,4.78224E-08,1.12865E-05,5.64696E-08,1.61603E-05,7.90685E-06,9.76470E-08,4.78224E-08
638 nm,1.04461E-05,1.24438E-07,1.54861E-05,7.41898E-06,4.48218E-07,3.57075E-08,1.04461E-05,1.24438E-07,1.54861E-05,7.41898E-06,4.48218E-07,3.57075E-08
639 nm,1.08216E-05,0.00000E+00,1.54750E-05,7.69382E-06,3.53167E-07,1.14316E-07,1.08216E-05,0.00000E+00,1.54750E-05,7.69382E-06,3.53167E-07,1.14316E-07
640 nm,9.90989E-06,4.88198E-07,1.48059E-05,6.93997E-06,0.00000E+00,0.00000E+00,9.90989E-06,4.88198E-07,1.48059E-05,6.93997E-06,0.00000E+00,0.00000E+00
641 nm,1.01826E-05,6.12598E-08,1.45793E-05,7.23935E-06,1.29973E-07,7.08634E-08,1.01826E-05,6.12598E-08,1.45793E-05,7.23935E-06,1.29973E-07,7.08634E-08
642 nm,9.50525E-06,1.98091E-07,1.44508E-05,7.26627E-06,5.46195E-07,3.28486E-07,9.50525E-06,1.98091E-07,1.44508E-05,7.26627E-06,5.46195E-07,3.28486E-07
643 nm,9.40448E-06,1.87698E-07,1.41671E-05,6.51343E-06,8.61669E-08,1.20547E-07,9.40448E-06,1.87698E-07,1.41671E-05,6.51343E-06,8.61669E-08,1.20547E-07
644 nm,9.24517E-06,9.03791E-08,1.36380E-05,6.60161E-06,3.91022E-08,2.28481E-07,9.24517E-06,9.03791E-08,1.36380E-05,6.60161E-06,3.91022E-08,2.28481E-07
645 nm,8.93126E-06,1.37147E-08,1.26180E-05,6.30308E-06,1.83934E-07,1.74040E-07,8.93126E-06,1.37147E-08,1.26180E-05,6.30308E-06,1.83934E-07,1.74040E-07
646 nm,8.88296E-06,0.00000E+00,1.25714E-05,6.15184E-06,3.96764E-08,2.48006E-07,8.88296E-06,0.00000E+00,1.25714E-05,6.15184E-06,3.96764E-08,2.48006E-07
647 nm,8.49577E-06,1.80408E-07,1.23073E-05,6.14860E-06,4.69395E-07,1.70046E-07,8.49577E-06,1.80408E-07,1.23073E-05,6.14860E-06,4.69395E-07,1.70046E-07
648 nm,8.12312E-06,0.00000E+00,1.30686E-05,5.44841E-06,5.10746E-08,2.75040E-07,8.12312E-06,0.00000E+00,1.30686E-05,5.44841E-06,5.10746E-08,2.75040E-07
649 nm,8.01911E-06,3.50251E-07,1.21780E-05,5.80103E-06,4.02268E-07,6.13261E-08,8.01911E-06,3.50251E-07,1.21780E-05,5.80103E-06,4.02268E-07,6.13261E-08
650 nm,8.59296E-06,3.12750E-07,1.19300E-05,5.66529E-06,2.45625E-07,2.12186E-08,8.59296E-06,3.12750E-07,1.19300E-05,5.66529E-06,2.45625E-07,2.12186E-08
651 nm,8.01161E-06,1.83115E-07,1.22541E-05,5.93646E-06,6.11667E-08,2.24009E-07,8.01161E-06,1.83115E-07,1.22541E-05,5.93646E-06,6.11667E-08,2.24009E-07
652 nm,7.60356E-06,3.36839E-07,1.12257E-05,5.45105E-06,4.91907E-08,1.27475E-07,7.60356E-06,3.36839E-07,1.12257E-05,5.45105E-06,4.91907E-08,1.27475E-07
653 nm,7.40724E-06,6.62527E-08,1.04719E-05,5.37297E-06,5.46637E-09,2.63038E-09,7.40724E-06,6.62527E-08,1.04719E-05,5.37297E-06,5.46637E-09,2.63038E-09
654 nm,7.12523E-06,5.23830E-09,1.10685E-05,5.02070E-06,3.85279E-07,1.88618E-07,7.12523E-06,5.23830E-09,1.10685E-05,5.02070E-06,3.85279E-07,1.88618E-07
655 nm,7.23768E-06,3.30440E-09,9.80788E-06,5.01066E-06,3.85180E-08,1.51950E-07,7.23768E-06,3.30440E-09,9.80788E-06,5.01066E-06,3.85180E-08,1.51950E-07
656 nm,6.86410E-06,0.00000E+00,1.01756E-05,5.22438E-06,3.94952E-08,6.88063E-08,6.86410E-06,0.00000E+00,1.01756E-05,5.22438E-06,3.94952E-08,6.88063E-08
657 nm,6.71694E-06,1.43297E-07,9.91594E-06,4.46903E-06,6.07111E-08,2.31287E-10,6.71694E-06,1.43297E-07,9.91594E-06,4.46903E-06,6.07111E-08,2.31287E-10
658 nm,6.50441E-06,2.56206E-08,9.21967E-06,4.87006E-06,1.88038E-07,6.19014E-08,6.50441E-06,2.56206E-08,9.21967E-06,4.87006E-06,1.88038E-07,6.19014E-08
659 nm,6.02673E-06,2.80593E-07,9.17197E-06,4.32458E-06,6.38724E-08,4.35523E-07,6.02673E-06,2.80593E-07,9.17197E-06,4.32458E-06,6.38724E-08,4.35523E-07
660 nm,6.01915E-06,1.37185E-07,9.61677E-06,4.36814E-06,2.60505E-07,8.83028E-08,6.01915E-06,1.37185E-07,9.61677E-06,4.36814E-06,2.60505E-07,8.83028E-08
661 nm,6.54331E-06,0.00000E+00,9.08102E-06,3.95805E-06,2.95296E-08,0.00000E+00,6.54331E-06,0.00000E+00,9.08102E-06,3.95805E-06,2.95296E-08,0.00000E+00
662 nm,5.52425E-06,1.28522E-07,8.79717E-06,3.80065E-06,1.61526E-07,1.49610E-08,5.52425E-06,1.28522E-07,8.79717E-06,3.80065E-06,1.61526E-07,1.49610E-08
663 nm,6.05643E-06,1.72659E-07,8.38736E-06,4.10714E-06,0.00000E+00,2.42690E-07,6.05643E-06,1.72659E-07,8.38736E-06,4.10714E-06,0.00000E+00,2.42690E-07
664 nm,5.41658E-06,6.28849E-08,7.75246E-06,4.40503E-06,1.29486E-08,4.96401E-08,5.41658E-06,6.28849E-08,7.75246E-06,4.40503E-06,1.29486E-08,4.96401E-08
665 nm,5.43353E-06,2.87925E-07,8.31627E-06,3.95616E-06,8.23890E-08,1.34653E-08,5.43353E-06,2.87925E-07,8.31627E-06,3.95616E-06,8.23890E-08,1.34653E-08
